Artikel Analyse,,,,,,,,,,,,,,,,,,
,,,,,,Shops: 27907 Vista Mensa,,,,,,Gruppen: 10 Sparten SAP Küche,,,,,,
,,,,,,Kassen: Alle,,,,,,Visibility: 1 Full visibility,,,,,,
,,,,,,Bediener: Alle,,,,,,Gruppieren nach: Gruppe A,,,,,,
,,,,,,Preisebenen:Alle,,,,,,Zeige Maßeinheit: Nein,,,,,,
,,,,,,Drucke Artikel: Ja,,,,,Inkl. umsatzneutrale Artikel: Ja,,,,,,,
,,,,,,Datumsbereich: 22.12.2015 - 22.12.2015,,,,,,,,,,,,
,,,,,,Zeit Fenster: 11:00 - 13:59,,,,,,,,,,,,
,,,,,,Kunde:Alle,,,,,,,,,,,,
Gruppe,10,Sparten SAP Küche,,,,,,,,,,,,,,,,
Artikel,,,,Bruttobetrag,Nettobetrag,,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,,,,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,,Ref %,Tot %Umsatz
A10000,Küche,,,26.30,26.30,,9,,2.92,,,,0.00,0.00,26.30,,100.00,7.25
A10001,Favorite,,,241.00,241.00,,31,,7.77,,,,0.00,0.00,241.00,,100.00,66.39
A10002,Green,,,83.00,83.00,,11,,7.55,,,,0.00,0.00,83.00,,100.00,22.87
A10006,Menu Salat,,,4.50,4.50,,3,,1.50,,,,0.00,0.00,4.50,,100.00,1.24
A10144,Trockengebäck 100g verpackt,,,2.20,2.20,,1,,2.20,,,,0.00,0.00,2.20,,100.00,0.61
A10416,Sandwich Ticinese,,,6.00,6.00,,1,,6.00,,,,0.00,0.00,6.00,,100.00,1.65
Total Gruppe,,,,363.00,363.00,,56,0.000,6.48,,,,0.00,0.00,363.00,,,100.00
Total,,,,363.00,363.00,,56,0.000,6.48,,,,0.00,0.00,363.00,,,
"Mittwoch, 08 März 2017 11:51",,,Gedruckt durch 201 RM,,,,,,,Visibility: 1 Full visibility,,,,,,Seite 1 von 1,,
