"";"Artikel";"name";"Bruttobetrag";"Nettobetrag";"Verkaufte.Stücke";"Gewicht.verkauft";"Durchschnittlicher.Preis";"Rabattierter.Betrag";"Durchschnittlicher.Rabatt";"Referenzbetrag";"Ref..";"Tot..Umsatz";"source";"year"
"49";"A10063";"Frucht 1.00";15;15;15;NA;1;0;0;15;100;0,151400454201363;"KW02.xlsx";2016
"50";"A10070";"Yogurt 150g";1,6;1,6;1;NA;1,6;0;0;1,6;100;0,0161493817814787;"KW02.xlsx";2016
"51";"A100700";"Yogi";1,6;1,6;1;NA;1,6;0;0;1,6;100;0,0161493817814787;"KW02.xlsx";2016
"52";"A10072";"Schichtjoghurt";6,5;6,5;2;NA;3,25;0;0;6,5;100;0,0656068634872571;"KW02.xlsx";2016
"53";"A10073";"Saisonfrüchte geschnitten";10,5;10,5;3;NA;3,5;0;0;10,5;100;0,105980317940954;"KW02.xlsx";2016
"54";"A10100";"Gipfel";3,9;3,9;3;NA;1,3;0;0;3,9;100;0,0393641180923543;"KW02.xlsx";2016
"55";"A10101";"Ragusa-Gipfel ";9,6;9,6;4;NA;2,4;0;0;9,6;100;0,0968962906888721;"KW02.xlsx";2016
"56";"A10103";"Vanille-Gipfel";12;12;5;NA;2,4;0;0;12;100;0,12112036336109;"KW02.xlsx";2016
"57";"A10108";"Laugenbrezel mit Butter";2,2;2,2;1;NA;2,2;0;0;2,2;100;0,0222053999495332;"KW02.xlsx";2016
"58";"A10112";"Maisbrötli";5,1;5,1;3;NA;1,7;0;0;5,1;100;0,0514761544284633;"KW02.xlsx";2016
"59";"A10114";"Fitnessbrötli ";1,7;1,7;1;NA;1,7;0;0;1,7;100;0,0171587181428211;"KW02.xlsx";2016
"60";"A10119";"Studentenschnitte ";4,8;4,8;2;NA;2,4;0;0;4,8;100;0,048448145344436;"KW02.xlsx";2016
"61";"A10121";"Mandelschnecke ";10,6;10,6;4;NA;2,65;0;0;10,6;100;0,106989654302296;"KW02.xlsx";2016
"62";"A10122";"Nussbrille";2,9;2,9;1;NA;2,9;0;0;2,9;100;0,0292707544789301;"KW02.xlsx";2016
"63";"A10126";"Apfel im Schlafrock";2,4;2,4;1;NA;2,4;0;0;2,4;100;0,024224072672218;"KW02.xlsx";2016
"64";"A10128";"Aprikosenjalousie";7,7;7,7;3;NA;2,57;0;0;7,7;100;0,0777188998233661;"KW02.xlsx";2016
"65";"A10129";"Aprikosen-Bögli";2,4;2,4;1;NA;2,4;0;0;2,4;100;0,024224072672218;"KW02.xlsx";2016
"66";"A10130";"Vanillekreuz";2,4;2,4;1;NA;2,4;0;0;2,4;100;0,024224072672218;"KW02.xlsx";2016
"67";"A10135";"Wähe";35,1;35,1;9;NA;3,9;0;0;35,1;100;0,354277062831188;"KW02.xlsx";2016
"68";"A10144";"Trockengebäck 100g verpackt";8,8;8,8;4;NA;2,2;0;0;8,8;100;0,0888215997981327;"KW02.xlsx";2016
"69";"A10148";"Fruchttörtli";12;12;5;NA;2,4;0;0;12;100;0,12112036336109;"KW02.xlsx";2016
