ID;Artikel;NA;Bruttobetrag;Nettobetrag;Verkaufte Stücke;Gewicht verkauft;Durchschnittlicher Preis;Referenzbetrag;Ref %;Tot %Umsatz;source;year
1;A10000;Küche;14.5;14.5;4;0;3.63;14.5;100;0.44;KW1.xlsx;2017
2;A10001;Favorite;1'841.00;1'841.00;228;0;8.07;1'841.00;100;56.41;KW1.xlsx;2017
3;A10002;Green;1'079.00;1'079.00;133;0;8.11;1'079.00;100;33.06;KW1.xlsx;2017
4;A10004;Brot Stück;0.6;0.6;2;0;0.3;0.6;100;0.02;KW1.xlsx;2017
5;A10006;Menu Salat;49;49;32;0;1.53;49;100;1.5;KW1.xlsx;2017
6;A10007;Senf Mayo Ketschup;1.5;1.5;3;0;0.5;1.5;100;0.05;KW1.xlsx;2017
7;A10040;Garden;197.1;197.1;36;8.56;23.03;197.1;100;6.04;KW1.xlsx;2017
8;A10063;Frucht 1.00;5;5;5;0;1;5;100;0.15;KW1.xlsx;2017
9;A10072;Schichtjoghurt;3;3;1;0;3;3;100;0.09;KW1.xlsx;2017
10;A10100;Gipfel;1.3;1.3;1;0;1.3;1.3;100;0.04;KW1.xlsx;2017
11;A10126;Apfel im Schlafrock;2.4;2.4;1;0;2.4;2.4;100;0.07;KW1.xlsx;2017
12;A10139;Zitronencake-Schnitte 100g verpackt;4.8;4.8;2;0;2.4;4.8;100;0.15;KW1.xlsx;2017
13;A10144;Trockengebäck 100g verpackt;2.2;2.2;1;0;2.2;2.2;100;0.07;KW1.xlsx;2017
14;A10200;Birchermüesli Classic;6.4;6.4;2;0;3.2;6.4;100;0.2;KW1.xlsx;2017
15;A10409;Sandwich Appenzell;11;11;2;0;5.5;11;100;0.34;KW1.xlsx;2017
16;A10411;Sandwich Power Ham;4;4;1;0;4;4;100;0.12;KW1.xlsx;2017
17;A10413;Sandwich Start Your Day;18;18;4;0;4.5;18;100;0.55;KW1.xlsx;2017
18;A10415;Sandwich Turkey;5.5;5.5;1;0;5.5;5.5;100;0.17;KW1.xlsx;2017
19;A10417;Sandwich Softie;4;4;1;0;4;4;100;0.12;KW1.xlsx;2017
20;A10451;Sandwich Bauette;5.5;5.5;1;0;5.5;5.5;100;0.17;KW1.xlsx;2017
21;A10452;Crispy Chicken;6;6;1;0;6;6;100;0.18;KW1.xlsx;2017
22;L19100;Patisserie offen;2;2;1;0;2;2;100;0.06;KW1.xlsx;2017
29;A10000;Küche;53;53;13;0;4.08;53;100;0.61;KW2.xlsx;2017
