Artikel Analyse,,,,,,,,,,,,,,,,,,
,,,,,,Shops: 27902 Grüntal Mensa,,,,,,Gruppen: 10 Sparten SAP Küche,,,,,,
,,,,,,Kassen: Alle,,,,,,Visibility: 1 Full visibility,,,,,,
,,,,,,Bediener: Alle,,,,,,Gruppieren nach: Gruppe A,,,,,,
,,,,,,Preisebenen:Alle,,,,,,Zeige Maßeinheit: Nein,,,,,,
,,,,,,Drucke Artikel: Ja,,,,,Inkl. umsatzneutrale Artikel: Ja,,,,,,,
,,,,,,Datumsbereich: 23.12.2016 - 23.12.2016,,,,,,,,,,,,
,,,,,,Zeit Fenster: 11:00 - 13:59,,,,,,,,,,,,
,,,,,,Kunde:Alle,,,,,,,,,,,,
Gruppe,10,Sparten SAP Küche,,,,,,,,,,,,,,,,
Artikel,,,,Bruttobetrag,Nettobetrag,,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,,,,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,,Ref %,Tot %Umsatz
A10000,Küche,,,30.00,30.00,,1,,30.00,,,,0.00,0.00,30.00,,100.00,2.96
A10001,Favorite,,,517.00,517.00,,66,,7.83,,,,0.00,0.00,517.00,,100.00,50.94
A10002,Green,,,398.00,398.00,,50,,7.96,,,,0.00,0.00,398.00,,100.00,39.21
A10040,Garden,,,45.70,45.70,,7,1.888,24.21,,,,0.00,0.00,45.70,,100.00,4.50
A10063,Frucht 1.00,,,1.00,1.00,,1,,1.00,,,,0.00,0.00,1.00,,100.00,0.10
A10073,Saisonfrüchte geschnitten,,,4.00,4.00,,1,,4.00,,,,0.00,0.00,4.00,,100.00,0.39
A10200,Birchermüesli Classic,,,13.80,13.80,,4,,3.45,,,,0.00,0.00,13.80,,100.00,1.36
A10435,FB Sandwich Emmental,,,5.50,5.50,,1,,5.50,,,,0.00,0.00,5.50,,100.00,0.54
Total Gruppe,,,,"1,015.00","1,015.00",,131,1.888,7.75,,,,0.00,0.00,"1,015.00",,,100.00
Total,,,,"1,015.00","1,015.00",,131,1.888,7.75,,,,0.00,0.00,"1,015.00",,,
"Dienstag, 07 März 2017 11:48",,,Gedruckt durch 201 RM,,,,,,,Visibility: 1 Full visibility,,,,,,Seite 1 von 1,,
