Artikel Analyse,,,,,,,,,,,,,,,,,,
,,,,,,Shops: 27902 Grüntal Mensa,,,,,,Gruppen: 10 Sparten SAP Küche,,,,,,
,,,,,,Kassen: Alle,,,,,,Visibility: 1 Full visibility,,,,,,
,,,,,,Bediener: Alle,,,,,,Gruppieren nach: Gruppe A,,,,,,
,,,,,,Preisebenen:Alle,,,,,,Zeige Maßeinheit: Nein,,,,,,
,,,,,,Drucke Artikel: Ja,,,,,Inkl. umsatzneutrale Artikel: Ja,,,,,,,
,,,,,,Datumsbereich: 21.12.2015 - 21.12.2015,,,,,,,,,,,,
,,,,,,Zeit Fenster: 11:00 - 13:59,,,,,,,,,,,,
,,,,,,Kunde:Alle,,,,,,,,,,,,
Gruppe,10,Sparten SAP Küche,,,,,,,,,,,,,,,,
Artikel,,,,Bruttobetrag,Nettobetrag,,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,,,,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,,Ref %,Tot %Umsatz
A10000,Küche,,,13.00,13.00,,3,,4.33,,,,0.00,0.00,13.00,,100.00,1.73
A10001,Favorite,,,450.00,450.00,,57,,7.89,,,,0.00,0.00,450.00,,100.00,59.87
A10002,Green,,,233.00,233.00,,30,,7.77,,,,0.00,0.00,233.00,,100.00,31.00
A10006,Menu Salat,,,31.50,31.50,,21,,1.50,,,,0.00,0.00,31.50,,100.00,4.19
A10040,Garden,,,8.80,8.80,,2,0.384,22.92,,,,0.00,0.00,8.80,,100.00,1.17
A10063,Frucht 1.00,,,1.00,1.00,,1,,1.00,,,,0.00,0.00,1.00,,100.00,0.13
A10144,Trockengebäck 100g verpackt,,,8.80,8.80,,4,,2.20,,,,0.00,0.00,8.80,,100.00,1.17
A10415,Sandwich Turkey,,,5.50,5.50,,1,,5.50,,,,0.00,0.00,5.50,,100.00,0.73
Total Gruppe,,,,751.60,751.60,,119,0.384,6.32,,,,0.00,0.00,751.60,,,100.00
Total,,,,751.60,751.60,,119,0.384,6.32,,,,0.00,0.00,751.60,,,
"Dienstag, 07 März 2017 11:21",,,Gedruckt durch 201 RM,,,,,,,Visibility: 1 Full visibility,,,,,,Seite 1 von 1,,
