Artikel Analyse,,,,,,,,,,,,,,,,,,
,,,,,,Shops: 27902 Grüntal Mensa,,,,,,Gruppen: 10 Sparten SAP Küche,,,,,,
,,,,,,Kassen: Alle,,,,,,Visibility: 1 Full visibility,,,,,,
,,,,,,Bediener: Alle,,,,,,Gruppieren nach: Gruppe A,,,,,,
,,,,,,Preisebenen:Alle,,,,,,Zeige Maßeinheit: Nein,,,,,,
,,,,,,Drucke Artikel: Ja,,,,,Inkl. umsatzneutrale Artikel: Ja,,,,,,,
,,,,,,Datumsbereich: 23.12.2015 - 23.12.2015,,,,,,,,,,,,
,,,,,,Zeit Fenster: 11:00 - 13:59,,,,,,,,,,,,
,,,,,,Kunde:Alle,,,,,,,,,,,,
Gruppe,10,Sparten SAP Küche,,,,,,,,,,,,,,,,
Artikel,,,,Bruttobetrag,Nettobetrag,,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,,,,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,,Ref %,Tot %Umsatz
A10000,Küche,,,6.00,6.00,,1,,6.00,,,,0.00,0.00,6.00,,100.00,1.38
A10001,Favorite,,,259.00,259.00,,32,,8.09,,,,0.00,0.00,259.00,,100.00,59.39
A10002,Green,,,148.00,148.00,,19,,7.79,,,,0.00,0.00,148.00,,100.00,33.94
A10006,Menu Salat,,,16.50,16.50,,11,,1.50,,,,0.00,0.00,16.50,,100.00,3.78
A10144,Trockengebäck 100g verpackt,,,6.60,6.60,,3,,2.20,,,,0.00,0.00,6.60,,100.00,1.51
Total Gruppe,,,,436.10,436.10,,66,0.000,6.61,,,,0.00,0.00,436.10,,,100.00
Total,,,,436.10,436.10,,66,0.000,6.61,,,,0.00,0.00,436.10,,,
"Dienstag, 07 März 2017 11:22",,,Gedruckt durch 201 RM,,,,,,,Visibility: 1 Full visibility,,,,,,Seite 1 von 1,,
