Artikel Analyse,,,,,,,,,,,,,,,,,,
,,,,,,Shops: 27907 Vista Mensa,,,,,,Gruppen: 10 Sparten SAP Küche,,,,,,
,,,,,,Kassen: Alle,,,,,,Visibility: 1 Full visibility,,,,,,
,,,,,,Bediener: Alle,,,,,,Gruppieren nach: Gruppe A,,,,,,
,,,,,,Preisebenen:Alle,,,,,,Zeige Maßeinheit: Nein,,,,,,
,,,,,,Drucke Artikel: Ja,,,,,Inkl. umsatzneutrale Artikel: Ja,,,,,,,
,,,,,,Datumsbereich: 09.11.2015 - 09.11.2015,,,,,,,,,,,,
,,,,,,Zeit Fenster: 11:00 - 13:59,,,,,,,,,,,,
,,,,,,Kunde:Alle,,,,,,,,,,,,
Gruppe,10,Sparten SAP Küche,,,,,,,,,,,,,,,,
Artikel,,,,Bruttobetrag,Nettobetrag,,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,,,,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,,Ref %,Tot %Umsatz
A10001,Favorite,,,487.00,487.00,,66,,7.38,,,,0.00,0.00,487.00,,100.00,24.42
A10002,Green,,,432.00,432.00,,59,,7.32,,,,0.00,0.00,432.00,,100.00,21.67
A10005,Menu Suppe,,,21.50,21.50,,13,,1.65,,,,0.00,0.00,21.50,,100.00,1.08
A10006,Menu Salat,,,36.50,36.50,,23,,1.59,,,,0.00,0.00,36.50,,100.00,1.83
A10007,Senf Mayo Ketschup,,,0.50,0.50,,1,,0.50,,,,0.00,0.00,0.50,,100.00,0.03
A10010,Kitchen 0,,,14.00,14.00,,1,,14.00,,,,0.00,0.00,14.00,,100.00,0.70
A10014,Kitchen 4,,,329.00,329.00,,25,,13.16,,,,0.00,0.00,329.00,,100.00,16.50
A10020,Local 0,,,530.00,530.00,,74,,7.16,,,,0.00,0.00,530.00,,100.00,26.58
A10040,Garden,,,69.00,69.00,,16,2.956,23.34,,,,0.00,0.00,69.00,,100.00,3.46
A10061,Frucht -.80,,,0.80,0.80,,1,,0.80,,,,0.00,0.00,0.80,,100.00,0.04
A10063,Frucht 1.00,,,3.00,3.00,,3,,1.00,,,,0.00,0.00,3.00,,100.00,0.15
A10073,Saisonfrüchte geschnitten,,,3.50,3.50,,1,,3.50,,,,0.00,0.00,3.50,,100.00,0.18
A10101,Ragusa-Gipfel ,,,2.40,2.40,,1,,2.40,,,,0.00,0.00,2.40,,100.00,0.12
A10102,Mandelgipfel ,,,2.40,2.40,,1,,2.40,,,,0.00,0.00,2.40,,100.00,0.12
A10103,Vanille-Gipfel,,,4.80,4.80,,2,,2.40,,,,0.00,0.00,4.80,,100.00,0.24
A10104,Schoggi-Gipfel ,,,2.40,2.40,,1,,2.40,,,,0.00,0.00,2.40,,100.00,0.12
A10105,Schinkengipfel ,,,5.00,5.00,,2,,2.50,,,,0.00,0.00,5.00,,100.00,0.25
A10112,Maisbrötli,,,1.70,1.70,,1,,1.70,,,,0.00,0.00,1.70,,100.00,0.09
A10136,Muffin,,,2.50,2.50,,1,,2.50,,,,0.00,0.00,2.50,,100.00,0.13
A10139,Zitronencake-Schnitte 100g verpackt,,,4.80,4.80,,2,,2.40,,,,0.00,0.00,4.80,,100.00,0.24
A10144,Trockengebäck 100g verpackt,,,2.20,2.20,,1,,2.20,,,,0.00,0.00,2.20,,100.00,0.11
A10150,Spinatstrudel,,,2.50,2.50,,1,,2.50,,,,0.00,0.00,2.50,,100.00,0.13
A10200,Birchermüesli Classic,,,6.40,6.40,,2,,3.20,,,,0.00,0.00,6.40,,100.00,0.32
A10410,Sandwich Milano,,,4.00,4.00,,1,,4.00,,,,0.00,0.00,4.00,,100.00,0.20
A10413,Sandwich Start Your Day,,,4.50,4.50,,1,,4.50,,,,0.00,0.00,4.50,,100.00,0.23
A10414,Sandwich Ham & Cheese,,,11.00,11.00,,2,,5.50,,,,0.00,0.00,11.00,,100.00,0.55
A10415,Sandwich Turkey,,,5.50,5.50,,1,,5.50,,,,0.00,0.00,5.50,,100.00,0.28
A10451,Sandwich Bauette,,,5.00,5.00,,1,,5.00,,,,0.00,0.00,5.00,,100.00,0.25
Total Gruppe,,,,"1,993.90","1,993.90",,304,2.956,6.56,,,,0.00,0.00,"1,993.90",,,100.00
Total,,,,"1,993.90","1,993.90",,304,2.956,6.56,,,,0.00,0.00,"1,993.90",,,
"Mittwoch, 08 März 2017 11:40",,,Gedruckt durch 201 RM,,,,,,,Visibility: 1 Full visibility,,,,,,Seite 1 von 1,,
