"";"Artikel";"name";"Bruttobetrag";"Nettobetrag";"Verkaufte.Stücke";"Gewicht.verkauft";"Durchschnittlicher.Preis";"Rabattierter.Betrag";"Durchschnittlicher.Rabatt";"Referenzbetrag";"Ref..";"Tot..Umsatz";"source";"year"
"1";"A10000";"Küche";14,5;14,5;4;NA;3,63;0;0;14,5;100;0,444267418346712;"KW01.xlsx";2017
"2";"A10001";"Favorite";1841;1841;228;NA;8,07;0;0;1841;100;56,4066425638826;"KW01.xlsx";2017
"3";"A10002";"Green";1079;1079;133;NA;8,11;0;0;1079;100;33,0596237514554;"KW01.xlsx";2017
"4";"A10004";"Brot Stück";0,6;0,6;2;NA;0,3;0;0;0,6;100;0,018383479379864;"KW01.xlsx";2017
"5";"A10006";"Menu Salat";49;49;32;NA;1,53;0;0;49;100;1,50131748268889;"KW01.xlsx";2017
"6";"A10007";"Senf Mayo Ketschup";1,5;1,5;3;NA;0,5;0;0;1,5;100;0,0459586984496599;"KW01.xlsx";2017
"7";"A10040";"Garden";197,1;197,1;36;8,56;23,03;0;0;197,1;100;6,03897297628531;"KW01.xlsx";2017
"8";"A10063";"Frucht 1.00";5;5;5;NA;1;0;0;5;100;0,153195661498866;"KW01.xlsx";2017
"9";"A10072";"Schichtjoghurt";3;3;1;NA;3;0;0;3;100;0,0919173968993198;"KW01.xlsx";2017
"10";"A10100";"Gipfel";1,3;1,3;1;NA;1,3;0;0;1,3;100;0,0398308719897053;"KW01.xlsx";2017
"11";"A10126";"Apfel im Schlafrock";2,4;2,4;1;NA;2,4;0;0;2,4;100;0,0735339175194558;"KW01.xlsx";2017
"12";"A10139";"Zitronencake-Schnitte 100g verpackt";4,8;4,8;2;NA;2,4;0;0;4,8;100;0,147067835038912;"KW01.xlsx";2017
"13";"A10144";"Trockengebäck 100g verpackt";2,2;2,2;1;NA;2,2;0;0;2,2;100;0,0674060910595012;"KW01.xlsx";2017
"14";"A10200";"Birchermüesli Classic";6,4;6,4;2;NA;3,2;0;0;6,4;100;0,196090446718549;"KW01.xlsx";2017
"15";"A10409";"Sandwich Appenzell";11;11;2;NA;5,5;0;0;11;100;0,337030455297506;"KW01.xlsx";2017
"16";"A10411";"Sandwich Power Ham";4;4;1;NA;4;0;0;4;100;0,122556529199093;"KW01.xlsx";2017
"17";"A10413";"Sandwich Start Your Day";18;18;4;NA;4,5;0;0;18;100;0,551504381395919;"KW01.xlsx";2017
"18";"A10415";"Sandwich Turkey";5,5;5,5;1;NA;5,5;0;0;5,5;100;0,168515227648753;"KW01.xlsx";2017
"19";"A10417";"Sandwich Softie";4;4;1;NA;4;0;0;4;100;0,122556529199093;"KW01.xlsx";2017
"20";"A10451";"Sandwich Bauette";5,5;5,5;1;NA;5,5;0;0;5,5;100;0,168515227648753;"KW01.xlsx";2017
"21";"A10452";"Crispy Chicken";6;6;1;NA;6;0;0;6;100;0,18383479379864;"KW01.xlsx";2017
"22";"L19100";"Patisserie offen";2;2;1;NA;2;0;0;2;100;0,0612782645995465;"KW01.xlsx";2017
"23";"Total Gruppe";NA;3263,8;3263,8;463;8,56;7,05;0;0;3263,8;NA;100;"KW01.xlsx";2017
"24";"A10000";"Küche";53;53;13;NA;4,08;0;0;53;100;0,610430295770755;"KW02.xlsx";2017
"25";"A10001";"Favorite";3615;3615;433;NA;8,35;0;0;3615;100;41,6359531926656;"KW02.xlsx";2017
"26";"A10002";"Green";2504;2504;310;NA;8,08;0;0;2504;100;28,8399520869806;"KW02.xlsx";2017
"27";"A100039";"Portion Pommes";11;11;2;NA;5,5;0;0;11;100;0,126693080254308;"KW02.xlsx";2017
"28";"A10004";"Brot Stück";0,9;0,9;3;NA;0,3;0;0;0,9;100;0,0103657974753524;"KW02.xlsx";2017
"29";"A10005";"Menu Suppe";47,5;47,5;29;NA;1,64;0;0;47,5;100;0,547083755643601;"KW02.xlsx";2017
"30";"A10006";"Menu Salat";53,5;53,5;33;NA;1,62;0;0;53,5;100;0,61618907214595;"KW02.xlsx";2017
"31";"A10007";"Senf Mayo Ketschup";0,5;0,5;1;NA;0,5;0;0;0,5;100;0,0057587763751958;"KW02.xlsx";2017
"32";"A10014";"Kitchen 4";1027;1027;79;NA;13;0;0;1027;100;11,8285266746522;"KW02.xlsx";2017
"33";"A10040";"Garden";1102,3;1102,3;143;47,452;23,23;0;0;1102,3;100;12,6957983967567;"KW02.xlsx";2017
"34";"A10063";"Frucht 1.00";4;4;4;NA;1;0;0;4;100;0,0460702110015664;"KW02.xlsx";2017
"35";"A10072";"Schichtjoghurt";3,5;3,5;1;NA;3,5;0;0;3,5;100;0,0403114346263706;"KW02.xlsx";2017
"36";"A10101";"Ragusa-Gipfel ";8,2;8,2;3;NA;2,73;0;0;8,2;100;0,0944439325532111;"KW02.xlsx";2017
"37";"A10108";"Laugenbrezel mit Butter";2,2;2,2;1;NA;2,2;0;0;2,2;100;0,0253386160508615;"KW02.xlsx";2017
"38";"A10121";"Mandelschnecke ";5,3;5,3;2;NA;2,65;0;0;5,3;100;0,0610430295770755;"KW02.xlsx";2017
"39";"A10123";"Russenzöpfli";2,4;2,4;1;NA;2,4;0;0;2,4;100;0,0276421266009398;"KW02.xlsx";2017
"40";"A10126";"Apfel im Schlafrock";7,2;7,2;3;NA;2,4;0;0;7,2;100;0,0829263798028195;"KW02.xlsx";2017
"41";"A10127";"Aprikosenplunder";2,4;2,4;1;NA;2,4;0;0;2,4;100;0,0276421266009398;"KW02.xlsx";2017
"42";"A10130";"Vanillekreuz";4,8;4,8;2;NA;2,4;0;0;4,8;100;0,0552842532018797;"KW02.xlsx";2017
"43";"A10135";"Wähe";18,5;18,5;4;NA;4,63;0;0;18,5;100;0,213074725882245;"KW02.xlsx";2017
"44";"A10139";"Zitronencake-Schnitte 100g verpackt";19,7;19,7;8;NA;2,46;0;0;19,7;100;0,226895789182714;"KW02.xlsx";2017
"45";"A10144";"Trockengebäck 100g verpackt";2,2;2,2;1;NA;2,2;0;0;2,2;100;0,0253386160508615;"KW02.xlsx";2017
"46";"A10148";"Fruchttörtli";2,4;2,4;1;NA;2,4;0;0;2,4;100;0,0276421266009398;"KW02.xlsx";2017
"47";"A10200";"Birchermüesli Classic";39,9;39,9;12;NA;3,33;0;0;39,9;100;0,459550354740625;"KW02.xlsx";2017
"48";"A10409";"Sandwich Appenzell";20,5;20,5;4;NA;5,13;0;0;20,5;100;0,236109831383028;"KW02.xlsx";2017
"49";"A10410";"Sandwich Milano";12,5;12,5;3;NA;4,17;0;0;12,5;100;0,143969409379895;"KW02.xlsx";2017
