"";"Artikel";"name";"Bruttobetrag";"Nettobetrag";"Verkaufte.Stücke";"Gewicht.verkauft";"Durchschnittlicher.Preis";"Rabattierter.Betrag";"Durchschnittlicher.Rabatt";"Referenzbetrag";"Ref..";"Tot..Umsatz";"source";"year"
"1";"A10001";"Favorite";1088;1088;137;NA;7,94;0;0;1088;100;45,9537083966886;"KW01.xlsx";2017
"2";"A10002";"Green";820;820;103;NA;7,96;0;0;820;100;34,6342287548572;"KW01.xlsx";2017
"3";"A10006";"Menu Salat";51,5;51,5;33;NA;1,56;0;0;51,5;100;2,17519851326238;"KW01.xlsx";2017
"4";"A10007";"Senf Mayo Ketschup";2;2;4;NA;0,5;0;0;2;100;0,0844737286703835;"KW01.xlsx";2017
"5";"A10020";"Local 0";276;276;36;NA;7,67;0;0;276;100;11,6573745565129;"KW01.xlsx";2017
"6";"A10040";"Garden";86,6;86,6;22;3,776;22,93;0;0;86,6;100;3,65771245142761;"KW01.xlsx";2017
"7";"A10063";"Frucht 1.00";1;1;1;NA;1;0;0;1;100;0,0422368643351918;"KW01.xlsx";2017
"8";"A10072";"Schichtjoghurt";3;3;1;NA;3;0;0;3;100;0,126710593005575;"KW01.xlsx";2017
"9";"A10073";"Saisonfrüchte geschnitten";7;7;2;NA;3,5;0;0;7;100;0,295658050346342;"KW01.xlsx";2017
"10";"A10101";"Ragusa-Gipfel ";7,2;7,2;3;NA;2,4;0;0;7,2;100;0,304105423213381;"KW01.xlsx";2017
"11";"A10102";"Mandelgipfel ";2,4;2,4;1;NA;2,4;0;0;2,4;100;0,10136847440446;"KW01.xlsx";2017
"12";"A10111";"Schoggi Fair";8,8;8,8;4;NA;2,2;0;0;8,8;100;0,371684406149687;"KW01.xlsx";2017
"13";"A10112";"Maisbrötli";1,9;1,9;1;NA;1,9;0;0;1,9;100;0,0802500422368643;"KW01.xlsx";2017
"14";"A10200";"Birchermüesli Classic";3,2;3,2;1;NA;3,2;0;0;3,2;100;0,135157965872614;"KW01.xlsx";2017
"15";"A10410";"Sandwich Milano";4;4;1;NA;4;0;0;4;100;0,168947457340767;"KW01.xlsx";2017
"16";"A10451";"Sandwich Bauette";5;5;1;NA;5;0;0;5;100;0,211184321675959;"KW01.xlsx";2017
"17";"Total Gruppe";NA;2367,6;2367,6;351;3,776;6,75;0;0;2367,6;NA;100;"KW01.xlsx";2017
"18";"A10000";"Küche";1472;1472;152;NA;9,68;0;0;1472;100;18,9546607605043;"KW02.xlsx";2017
"19";"A10001";"Favorite";2416;2416;313;NA;7,72;0;0;2416;100;31,1103671177842;"KW02.xlsx";2017
"20";"A10002";"Green";1982;1982;253;NA;7,83;0;0;1982;100;25,5218326272551;"KW02.xlsx";2017
"21";"A10005";"Menu Suppe";15;15;10;NA;1,5;0;0;15;100;0,193152113727965;"KW02.xlsx";2017
"22";"A10006";"Menu Salat";60;60;38;NA;1,58;0;0;60;100;0,772608454911858;"KW02.xlsx";2017
"23";"A10007";"Senf Mayo Ketschup";2;2;4;NA;0,5;0;0;2;100;0,0257536151637286;"KW02.xlsx";2017
"24";"A10014";"Kitchen 4";916;916;71;NA;12,9;0;0;916;100;11,7951557449877;"KW02.xlsx";2017
"25";"A10040";"Garden";798,1;798,1;113;34,492;23,14;0;0;798,1;100;10,2769801310859;"KW02.xlsx";2017
"26";"A10063";"Frucht 1.00";6;6;6;NA;1;0;0;6;100;0,0772608454911858;"KW02.xlsx";2017
"27";"A10072";"Schichtjoghurt";3;3;1;NA;3;0;0;3;100;0,0386304227455929;"KW02.xlsx";2017
"28";"A10073";"Saisonfrüchte geschnitten";3,5;3,5;1;NA;3,5;0;0;3,5;100;0,0450688265365251;"KW02.xlsx";2017
"29";"A10101";"Ragusa-Gipfel ";14,4;14,4;6;NA;2,4;0;0;14,4;100;0,185426029178846;"KW02.xlsx";2017
"30";"A10102";"Mandelgipfel ";9,6;9,6;4;NA;2,4;0;0;9,6;100;0,123617352785897;"KW02.xlsx";2017
