Artikel Analyse,,,,,,,,,,,,,,,,,,
,,,,,,Shops: 27902 Grüntal Mensa,,,,,,Gruppen: 10 Sparten SAP Küche,,,,,,
,,,,,,Kassen: Alle,,,,,,Visibility: 1 Full visibility,,,,,,
,,,,,,Bediener: Alle,,,,,,Gruppieren nach: Gruppe A,,,,,,
,,,,,,Preisebenen:Alle,,,,,,Zeige Maßeinheit: Nein,,,,,,
,,,,,,Drucke Artikel: Ja,,,,,Inkl. umsatzneutrale Artikel: Ja,,,,,,,
,,,,,,Datumsbereich: 28.09.2015 - 28.09.2015,,,,,,,,,,,,
,,,,,,Zeit Fenster: 11:00 - 13:59,,,,,,,,,,,,
,,,,,,Kunde:Alle,,,,,,,,,,,,
Gruppe,10,Sparten SAP Küche,,,,,,,,,,,,,,,,
Artikel,,,,Bruttobetrag,Nettobetrag,,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,,,,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,,Ref %,Tot %Umsatz
A10000,Küche,,,17.50,17.50,,5,,3.50,,,,0.00,0.00,17.50,,100.00,0.94
A10001,Favorite,,,584.00,584.00,,74,,7.89,,,,0.00,0.00,584.00,,100.00,31.38
A10002,Green,,,345.00,345.00,,45,,7.67,,,,0.00,0.00,345.00,,100.00,18.54
A10006,Menu Salat,,,31.00,31.00,,20,,1.55,,,,0.00,0.00,31.00,,100.00,1.67
A10011,Kitchen 1,,,250.00,250.00,,26,,9.62,,,,0.00,0.00,250.00,,100.00,13.43
A10020,Local 0,,,453.00,453.00,,58,,7.81,,,,0.00,0.00,453.00,,100.00,24.34
A10030,Market,,,30.40,30.40,,4,1.322,23.00,,,,0.00,0.00,30.40,,100.00,1.63
A10040,Garden,,,60.10,60.10,,9,2.608,23.04,,,,0.00,0.00,60.10,,100.00,3.23
A10060,Frucht -.70,,,0.70,0.70,,1,,0.70,,,,0.00,0.00,0.70,,100.00,0.04
A10063,Frucht 1.00,,,2.00,2.00,,2,,1.00,,,,0.00,0.00,2.00,,100.00,0.11
A10071,Quark,,,1.70,1.70,,1,,1.70,,,,0.00,0.00,1.70,,100.00,0.09
A10073,Saisonfrüchte geschnitten,,,3.50,3.50,,1,,3.50,,,,0.00,0.00,3.50,,100.00,0.19
A10108,Laugenbrezel mit Butter,,,2.20,2.20,,1,,2.20,,,,0.00,0.00,2.20,,100.00,0.12
A10122,Nussbrille,,,2.50,2.50,,1,,2.50,,,,0.00,0.00,2.50,,100.00,0.13
A10126,Apfel im Schlafrock,,,4.80,4.80,,2,,2.40,,,,0.00,0.00,4.80,,100.00,0.26
A10131,Vanille/Apfelstange,,,2.40,2.40,,1,,2.40,,,,0.00,0.00,2.40,,100.00,0.13
A10148,Fruchttörtli,,,2.40,2.40,,1,,2.40,,,,0.00,0.00,2.40,,100.00,0.13
A10200,Birchermüesli Classic,,,19.20,19.20,,6,,3.20,,,,0.00,0.00,19.20,,100.00,1.03
A10410,Sandwich Milano,,,16.00,16.00,,4,,4.00,,,,0.00,0.00,16.00,,100.00,0.86
A10413,Sandwich Start Your Day,,,9.00,9.00,,2,,4.50,,,,0.00,0.00,9.00,,100.00,0.48
A10416,Sandwich Ticinese,,,12.00,12.00,,2,,6.00,,,,0.00,0.00,12.00,,100.00,0.64
A10425,Sandwich Italien,,,6.00,6.00,,1,,6.00,,,,0.00,0.00,6.00,,100.00,0.32
A10430,Bagel Sandwich Fisherman's Catch,,,5.50,5.50,,1,,5.50,,,,0.00,0.00,5.50,,100.00,0.30
Total Gruppe,,,,"1,860.90","1,860.90",,268,3.930,6.94,,,,0.00,0.00,"1,860.90",,,100.00
Total,,,,"1,860.90","1,860.90",,268,3.930,6.94,,,,0.00,0.00,"1,860.90",,,
"Dienstag, 07 März 2017 10:59",,,Gedruckt durch 201 RM,,,,,,,Visibility: 1 Full visibility,,,,,,Seite 1 von 1,,
