Artikel Analyse,,,,,,,,,,,,,,,,,,
,,,,,,Shops: 27902 Grüntal Mensa,,,,,,Gruppen: 10 Sparten SAP Küche,,,,,,
,,,,,,Kassen: Alle,,,,,,Visibility: 1 Full visibility,,,,,,
,,,,,,Bediener: Alle,,,,,,Gruppieren nach: Gruppe A,,,,,,
,,,,,,Preisebenen:Alle,,,,,,Zeige Maßeinheit: Nein,,,,,,
,,,,,,Drucke Artikel: Ja,,,,,Inkl. umsatzneutrale Artikel: Ja,,,,,,,
,,,,,,Datumsbereich: 24.09.2015 - 24.09.2015,,,,,,,,,,,,
,,,,,,Zeit Fenster: 11:00 - 13:59,,,,,,,,,,,,
,,,,,,Kunde:Alle,,,,,,,,,,,,
Gruppe,10,Sparten SAP Küche,,,,,,,,,,,,,,,,
Artikel,,,,Bruttobetrag,Nettobetrag,,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,,,,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,,Ref %,Tot %Umsatz
A10000,Küche,,,20.00,20.00,,3,,6.67,,,,0.00,0.00,20.00,,100.00,0.89
A10001,Favorite,,,734.00,734.00,,93,,7.89,,,,0.00,0.00,734.00,,100.00,32.70
A10002,Green,,,551.00,551.00,,70,,7.87,,,,0.00,0.00,551.00,,100.00,24.55
A10006,Menu Salat,,,61.50,61.50,,41,,1.50,,,,0.00,0.00,61.50,,100.00,2.74
A10007,Senf Mayo Ketschup,,,0.50,0.50,,1,,0.50,,,,0.00,0.00,0.50,,100.00,0.02
A10011,Kitchen 1,,,269.00,269.00,,27,,9.96,,,,0.00,0.00,269.00,,100.00,11.99
A10020,Local 0,,,320.00,320.00,,41,,7.80,,,,0.00,0.00,320.00,,100.00,14.26
A10021,Local 1,,,11.00,11.00,,1,,11.00,,,,0.00,0.00,11.00,,100.00,0.49
A10030,Market,,,79.50,79.50,,13,3.464,22.95,,,,0.00,0.00,79.50,,100.00,3.54
A10040,Garden,,,33.70,33.70,,5,1.448,23.27,,,,0.00,0.00,33.70,,100.00,1.50
A10063,Frucht 1.00,,,11.00,11.00,,11,,1.00,,,,0.00,0.00,11.00,,100.00,0.49
A10073,Saisonfrüchte geschnitten,,,7.00,7.00,,2,,3.50,,,,0.00,0.00,7.00,,100.00,0.31
A10100,Gipfel,,,6.50,6.50,,5,,1.30,,,,0.00,0.00,6.50,,100.00,0.29
A10105,Schinkengipfel ,,,2.50,2.50,,1,,2.50,,,,0.00,0.00,2.50,,100.00,0.11
A10108,Laugenbrezel mit Butter,,,2.40,2.40,,1,,2.40,,,,0.00,0.00,2.40,,100.00,0.11
A10113,Mandelbrötli ,,,8.50,8.50,,5,,1.70,,,,0.00,0.00,8.50,,100.00,0.38
A10116,Semmel ,,,1.60,1.60,,1,,1.60,,,,0.00,0.00,1.60,,100.00,0.07
A10117,Nuss-Semmel ,,,1.70,1.70,,1,,1.70,,,,0.00,0.00,1.70,,100.00,0.08
A10123,Russenzöpfli,,,2.40,2.40,,1,,2.40,,,,0.00,0.00,2.40,,100.00,0.11
A10127,Aprikosenplunder,,,2.40,2.40,,1,,2.40,,,,0.00,0.00,2.40,,100.00,0.11
A10128,Aprikosenjalousie,,,2.40,2.40,,1,,2.40,,,,0.00,0.00,2.40,,100.00,0.11
A10131,Vanille/Apfelstange,,,2.40,2.40,,1,,2.40,,,,0.00,0.00,2.40,,100.00,0.11
A10135,Wähe,,,42.90,42.90,,11,,3.90,,,,0.00,0.00,42.90,,100.00,1.91
A10136,Muffin,,,5.00,5.00,,2,,2.50,,,,0.00,0.00,5.00,,100.00,0.22
A10143,Trockengebäck Lyner verpackt,,,2.40,2.40,,1,,2.40,,,,0.00,0.00,2.40,,100.00,0.11
A10144,Trockengebäck 100g verpackt,,,2.20,2.20,,1,,2.20,,,,0.00,0.00,2.20,,100.00,0.10
A10148,Fruchttörtli,,,2.40,2.40,,1,,2.40,,,,0.00,0.00,2.40,,100.00,0.11
A10200,Birchermüesli Classic,,,16.50,16.50,,5,,3.30,,,,0.00,0.00,16.50,,100.00,0.74
A10410,Sandwich Milano,,,4.00,4.00,,1,,4.00,,,,0.00,0.00,4.00,,100.00,0.18
A10413,Sandwich Start Your Day,,,9.00,9.00,,2,,4.50,,,,0.00,0.00,9.00,,100.00,0.40
A10415,Sandwich Turkey,,,5.50,5.50,,1,,5.50,,,,0.00,0.00,5.50,,100.00,0.25
A10416,Sandwich Ticinese,,,6.00,6.00,,1,,6.00,,,,0.00,0.00,6.00,,100.00,0.27
A10426,Bagel Sandwich Ham & Cheese,,,5.50,5.50,,1,,5.50,,,,0.00,0.00,5.50,,100.00,0.25
A10451,Sandwich Bauette,,,5.00,5.00,,1,,5.00,,,,0.00,0.00,5.00,,100.00,0.22
L19100,Patisserie offen,,,2.50,2.50,,1,,2.50,,,,0.00,0.00,2.50,,100.00,0.11
L19200,Sandwich offen,,,4.50,4.50,,1,,4.50,,,,0.00,0.00,4.50,,100.00,0.20
Total Gruppe,,,,"2,244.40","2,244.40",,356,4.912,6.30,,,,0.00,0.00,"2,244.40",,,100.00
Total,,,,"2,244.40","2,244.40",,356,4.912,6.30,,,,0.00,0.00,"2,244.40",,,
"Dienstag, 07 März 2017 10:58",,,Gedruckt durch 201 RM,,,,,,,Visibility: 1 Full visibility,,,,,,Seite 1 von 1,,
