Artikel Analyse,,,,,,,,,,,,,,,,,,
,,,,,,Shops: 27902 Grüntal Mensa,,,,,,Gruppen: 10 Sparten SAP Küche,,,,,,
,,,,,,Kassen: Alle,,,,,,Visibility: 1 Full visibility,,,,,,
,,,,,,Bediener: Alle,,,,,,Gruppieren nach: Gruppe A,,,,,,
,,,,,,Preisebenen:Alle,,,,,,Zeige Maßeinheit: Nein,,,,,,
,,,,,,Drucke Artikel: Ja,,,,,Inkl. umsatzneutrale Artikel: Ja,,,,,,,
,,,,,,Datumsbereich: 19.11.2015 - 19.11.2015,,,,,,,,,,,,
,,,,,,Zeit Fenster: 11:00 - 13:59,,,,,,,,,,,,
,,,,,,Kunde:Alle,,,,,,,,,,,,
Gruppe,10,Sparten SAP Küche,,,,,,,,,,,,,,,,
Artikel,,,,Bruttobetrag,Nettobetrag,,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,,,,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,,Ref %,Tot %Umsatz
A10000,Küche,,,8.90,8.90,,2,,4.45,,,,0.00,0.00,8.90,,100.00,0.40
A10001,Favorite,,,815.00,815.00,,106,,7.69,,,,0.00,0.00,815.00,,100.00,36.82
A10002,Green,,,389.00,389.00,,51,,7.63,,,,0.00,0.00,389.00,,100.00,17.57
A10005,Menu Suppe,,,1.50,1.50,,1,,1.50,,,,0.00,0.00,1.50,,100.00,0.07
A10006,Menu Salat,,,57.50,57.50,,37,,1.55,,,,0.00,0.00,57.50,,100.00,2.60
A10013,Kitchen 3,,,241.00,241.00,,20,,12.05,,,,0.00,0.00,241.00,,100.00,10.89
A10014,Kitchen 4,,,393.00,393.00,,31,,12.68,,,,0.00,0.00,393.00,,100.00,17.76
A10020,Local 0,,,177.00,177.00,,23,,7.70,,,,0.00,0.00,177.00,,100.00,8.00
A10024,Local 4,,,12.00,12.00,,1,,12.00,,,,0.00,0.00,12.00,,100.00,0.54
A10030,Market,,,34.10,34.10,,6,1.486,22.95,,,,0.00,0.00,34.10,,100.00,1.54
A10040,Garden,,,13.80,13.80,,2,0.598,23.08,,,,0.00,0.00,13.80,,100.00,0.62
A10063,Frucht 1.00,,,2.00,2.00,,2,,1.00,,,,0.00,0.00,2.00,,100.00,0.09
A10073,Saisonfrüchte geschnitten,,,7.00,7.00,,2,,3.50,,,,0.00,0.00,7.00,,100.00,0.32
A10108,Laugenbrezel mit Butter,,,2.20,2.20,,1,,2.20,,,,0.00,0.00,2.20,,100.00,0.10
A10119,Studentenschnitte ,,,2.40,2.40,,1,,2.40,,,,0.00,0.00,2.40,,100.00,0.11
A10120,Mandelbrezel ,,,4.80,4.80,,2,,2.40,,,,0.00,0.00,4.80,,100.00,0.22
A10122,Nussbrille,,,2.40,2.40,,1,,2.40,,,,0.00,0.00,2.40,,100.00,0.11
A10123,Russenzöpfli,,,2.40,2.40,,1,,2.40,,,,0.00,0.00,2.40,,100.00,0.11
A10126,Apfel im Schlafrock,,,2.90,2.90,,1,,2.90,,,,0.00,0.00,2.90,,100.00,0.13
A10136,Muffin,,,5.00,5.00,,2,,2.50,,,,0.00,0.00,5.00,,100.00,0.23
A10410,Sandwich Milano,,,4.00,4.00,,1,,4.00,,,,0.00,0.00,4.00,,100.00,0.18
A10411,Sandwich Power Ham,,,4.00,4.00,,1,,4.00,,,,0.00,0.00,4.00,,100.00,0.18
A10412,Sandwich Gruyere,,,8.00,8.00,,2,,4.00,,,,0.00,0.00,8.00,,100.00,0.36
A10416,Sandwich Ticinese,,,18.50,18.50,,3,,6.17,,,,0.00,0.00,18.50,,100.00,0.84
A10451,Sandwich Bauette,,,5.00,5.00,,1,,5.00,,,,0.00,0.00,5.00,,100.00,0.23
Total Gruppe,,,,"2,213.40","2,213.40",,301,2.084,7.35,,,,0.00,0.00,"2,213.40",,,100.00
Total,,,,"2,213.40","2,213.40",,301,2.084,7.35,,,,0.00,0.00,"2,213.40",,,
"Dienstag, 07 März 2017 11:15",,,Gedruckt durch 201 RM,,,,,,,Visibility: 1 Full visibility,,,,,,Seite 1 von 1,,
