Artikel;article_description;Bruttobetrag;Nettobetrag;Verkaufte_Stücke;Gewicht_verkauft;Durchschnittlicher_Preis;umsatz_tot;origin;year;date;ort
A10040;Garden;68.6;68.6;8;2.986;22.97;3.24;17.09.csv;2015;17.09.2015;grüental
A10072;Schichtjoghurt;3;3;1;NA;3;0.14;17.09.csv;2015;17.09.2015;grüental
A10116;Semmel;2.8;2.8;2;NA;1.4;0.13;17.09.csv;2015;17.09.2015;grüental
A10131;Vanille/Apfelstange;2.4;2.4;1;NA;2.4;0.11;17.09.csv;2015;17.09.2015;grüental
A10148;Fruchttörtli;9.6;9.6;4;NA;2.4;0.45;17.09.csv;2015;17.09.2015;grüental
A10200;Birchermüesli Classic;19.2;19.2;6;NA;3.2;0.91;17.09.csv;2015;17.09.2015;grüental
A10410;Sandwich Milano;12.5;12.5;3;NA;4.17;0.59;17.09.csv;2015;17.09.2015;grüental
A10413;Sandwich Start Your Day;32;32;7;NA;4.57;1.51;17.09.csv;2015;17.09.2015;grüental
A10415;Sandwich Turkey;11;11;2;NA;5.5;0.52;17.09.csv;2015;17.09.2015;grüental
A10430;Bagel Sandwich Fisherman's Catch;5.5;5.5;1;NA;5.5;0.26;17.09.csv;2015;17.09.2015;grüental
L19000;Brotwaren offen;0.5;0.5;1;NA;0.5;0.02;17.09.csv;2015;17.09.2015;grüental
L19200;Sandwich offen;14.5;14.5;3;NA;4.83;0.68;17.09.csv;2015;17.09.2015;grüental
A10000;Catering;386.9;386.9;40;NA;9.67;17.09;18.09.csv;2015;18.09.2015;grüental
A10001;Favorite;698;698;88;NA;7.93;30.84;18.09.csv;2015;18.09.2015;grüental
A10002;Green;384;384;51;NA;7.53;16.97;18.09.csv;2015;18.09.2015;grüental
A10006;Menu Salat;10;10;6;NA;1.67;0.44;18.09.csv;2015;18.09.2015;grüental
A10011;Kitchen 1;185;185;19;NA;9.74;8.17;18.09.csv;2015;18.09.2015;grüental
A10020;Local 0;354;354;47;NA;7.53;15.64;18.09.csv;2015;18.09.2015;grüental
A10030;Market;18.7;18.7;3;0.816;22.92;0.83;18.09.csv;2015;18.09.2015;grüental
A10040;Garden;40.4;40.4;6;1.754;23.03;1.78;18.09.csv;2015;18.09.2015;grüental
A10101;Ragusa-Gipfel;4.8;4.8;2;NA;2.4;0.21;18.09.csv;2015;18.09.2015;grüental
A10114;Fitnessbrötli;1.9;1.9;1;NA;1.9;0.08;18.09.csv;2015;18.09.2015;grüental
A10148;Fruchttörtli;15.4;15.4;6;NA;2.57;0.68;18.09.csv;2015;18.09.2015;grüental
A10200;Birchermüesli Classic;12.8;12.8;4;NA;3.2;0.57;18.09.csv;2015;18.09.2015;grüental
A10410;Sandwich Milano;16;16;4;NA;4;0.71;18.09.csv;2015;18.09.2015;grüental
A10413;Sandwich Start Your Day;23;23;5;NA;4.6;1.02;18.09.csv;2015;18.09.2015;grüental
A10414;Sandwich Ham & Cheese;16.5;16.5;3;NA;5.5;0.73;18.09.csv;2015;18.09.2015;grüental
A10415;Sandwich Turkey;5.5;5.5;1;NA;5.5;0.24;18.09.csv;2015;18.09.2015;grüental
A10430;Bagel Sandwich Fisherman's Catch;5.5;5.5;1;NA;5.5;0.24;18.09.csv;2015;18.09.2015;grüental
L19100;Patisserie offen;70;70;28;NA;2.5;3.09;18.09.csv;2015;18.09.2015;grüental
L19200;Sandwich offen;15;15;3;NA;5;0.66;18.09.csv;2015;18.09.2015;grüental
A10000;Catering;75.1;75.1;11;NA;6.83;3.3;21.09.csv;2015;21.09.2015;grüental
A10001;Favorite;864;864;112;NA;7.71;37.93;21.09.csv;2015;21.09.2015;grüental
A10002;Green;471;471;62;NA;7.6;20.68;21.09.csv;2015;21.09.2015;grüental
A10006;Menu Salat;50.5;50.5;31;NA;1.63;2.22;21.09.csv;2015;21.09.2015;grüental
A10013;Kitchen 3;365;365;31;NA;11.77;16.02;21.09.csv;2015;21.09.2015;grüental
A10020;Local 0;310;310;37;NA;8.38;13.61;21.09.csv;2015;21.09.2015;grüental
A10030;Market;50.6;50.6;7;2.16;23.43;2.22;21.09.csv;2015;21.09.2015;grüental
A10040;Garden;35.9;35.9;6;1.528;23.49;1.58;21.09.csv;2015;21.09.2015;grüental
A10072;Schichtjoghurt;3;3;1;NA;3;0.13;21.09.csv;2015;21.09.2015;grüental
A10100;Gipfel;1.3;1.3;1;NA;1.3;0.06;21.09.csv;2015;21.09.2015;grüental
A10122;Nussbrille;2.5;2.5;1;NA;2.5;0.11;21.09.csv;2015;21.09.2015;grüental
A10144;Trockengebäck 100g verpackt;2.7;2.7;1;NA;2.7;0.12;21.09.csv;2015;21.09.2015;grüental
A10148;Fruchttörtli;4.8;4.8;2;NA;2.4;0.21;21.09.csv;2015;21.09.2015;grüental
A10410;Sandwich Milano;4;4;1;NA;4;0.18;21.09.csv;2015;21.09.2015;grüental
A10413;Sandwich Start Your Day;9.5;9.5;2;NA;4.75;0.42;21.09.csv;2015;21.09.2015;grüental
A10414;Sandwich Ham & Cheese;11;11;2;NA;5.5;0.48;21.09.csv;2015;21.09.2015;grüental
L19000;Brotwaren offen;2;2;1;NA;2;0.09;21.09.csv;2015;21.09.2015;grüental
L19200;Sandwich offen;15;15;3;NA;5;0.66;21.09.csv;2015;21.09.2015;grüental
A10000;Catering;45.7;45.7;13;NA;3.52;1.52;22.09.csv;2015;22.09.2015;grüental
A10001;Favorite;1499;1499;191;NA;7.85;49.94;22.09.csv;2015;22.09.2015;grüental
A10002;Green;725;725;95;NA;7.63;24.15;22.09.csv;2015;22.09.2015;grüental
A10006;Menu Salat;85.5;85.5;55;NA;1.55;2.85;22.09.csv;2015;22.09.2015;grüental
A10010;Kitchen 0;8;8;1;NA;8;0.27;22.09.csv;2015;22.09.2015;grüental
A10013;Kitchen 3;102;102;8;NA;12.75;3.4;22.09.csv;2015;22.09.2015;grüental
A10014;Kitchen 4;102;102;8;NA;12.75;3.4;22.09.csv;2015;22.09.2015;grüental
A10020;Local 0;282;282;36;NA;7.83;9.39;22.09.csv;2015;22.09.2015;grüental
A10023;Local 3;12;12;1;NA;12;0.4;22.09.csv;2015;22.09.2015;grüental
A10030;Market;20.2;20.2;3;0.86;23.49;0.67;22.09.csv;2015;22.09.2015;grüental
A10040;Garden;29.2;29.2;4;1.274;22.92;0.97;22.09.csv;2015;22.09.2015;grüental
