Artikel;article_description;Bruttobetrag;Nettobetrag;Verkaufte_Stücke;Gewicht_verkauft;Durchschnittlicher_Preis;umsatz_tot;origin;year;date;ort
A10122;Nussbrille;2.4;2.4;1;NA;2.4;0.13;05.11.csv;2015;05.11.2015;grüental
A10130;Vanillekreuz;2.4;2.4;1;NA;2.4;0.13;05.11.csv;2015;05.11.2015;grüental
A10135;Wähe;7.8;7.8;2;NA;3.9;0.42;05.11.csv;2015;05.11.2015;grüental
A10200;Birchermüesli Classic;12.8;12.8;4;NA;3.2;0.69;05.11.csv;2015;05.11.2015;grüental
A10410;Sandwich Milano;12;12;3;NA;4;0.65;05.11.csv;2015;05.11.2015;grüental
A10411;Sandwich Power Ham;8;8;2;NA;4;0.43;05.11.csv;2015;05.11.2015;grüental
A10414;Sandwich Ham & Cheese;22.5;22.5;4;NA;5.63;1.22;05.11.csv;2015;05.11.2015;grüental
A10415;Sandwich Turkey;16.5;16.5;3;NA;5.5;0.89;05.11.csv;2015;05.11.2015;grüental
A10416;Sandwich Ticinese;19.5;19.5;3;NA;6.5;1.06;05.11.csv;2015;05.11.2015;grüental
A10438;FB Sandwich Ham & Co;11;11;2;NA;5.5;0.6;05.11.csv;2015;05.11.2015;grüental
A10451;Sandwich Bauette;10;10;2;NA;5;0.54;05.11.csv;2015;05.11.2015;grüental
A10000;Catering;43;43;6;NA;7.17;3.12;06.11.csv;2015;06.11.2015;grüental
A10001;Favorite;398;398;51;NA;7.8;28.89;06.11.csv;2015;06.11.2015;grüental
A10002;Green;287;287;39;NA;7.36;20.83;06.11.csv;2015;06.11.2015;grüental
A10005;Menu Suppe;3;3;2;NA;1.5;0.22;06.11.csv;2015;06.11.2015;grüental
A10006;Menu Salat;33;33;22;NA;1.5;2.4;06.11.csv;2015;06.11.2015;grüental
A10007;Senf Mayo Ketschup;0.5;0.5;1;NA;0.5;0.04;06.11.csv;2015;06.11.2015;grüental
A10014;Kitchen 4;417;417;33;NA;12.64;30.27;06.11.csv;2015;06.11.2015;grüental
A10020;Local 0;119;119;16;NA;7.44;8.64;06.11.csv;2015;06.11.2015;grüental
A10040;Garden;33.3;33.3;4;1.402;23.75;2.42;06.11.csv;2015;06.11.2015;grüental
A10063;Frucht 1.00;2;2;2;NA;1;0.15;06.11.csv;2015;06.11.2015;grüental
A100700;Yogi;1.6;1.6;1;NA;1.6;0.12;06.11.csv;2015;06.11.2015;grüental
A10101;Ragusa-Gipfel;2.4;2.4;1;NA;2.4;0.17;06.11.csv;2015;06.11.2015;grüental
A10103;Vanille-Gipfel;2.4;2.4;1;NA;2.4;0.17;06.11.csv;2015;06.11.2015;grüental
A10123;Russenzöpfli;2.4;2.4;1;NA;2.4;0.17;06.11.csv;2015;06.11.2015;grüental
A10126;Apfel im Schlafrock;2.4;2.4;1;NA;2.4;0.17;06.11.csv;2015;06.11.2015;grüental
A10127;Aprikosenplunder;2.4;2.4;1;NA;2.4;0.17;06.11.csv;2015;06.11.2015;grüental
A10128;Aprikosenjalousie;2.4;2.4;1;NA;2.4;0.17;06.11.csv;2015;06.11.2015;grüental
A10131;Vanille/Apfelstange;2.4;2.4;1;NA;2.4;0.17;06.11.csv;2015;06.11.2015;grüental
A10148;Fruchttörtli;2.4;2.4;1;NA;2.4;0.17;06.11.csv;2015;06.11.2015;grüental
A10200;Birchermüesli Classic;3.7;3.7;1;NA;3.7;0.27;06.11.csv;2015;06.11.2015;grüental
A10414;Sandwich Ham & Cheese;5.5;5.5;1;NA;5.5;0.4;06.11.csv;2015;06.11.2015;grüental
A10416;Sandwich Ticinese;6;6;1;NA;6;0.44;06.11.csv;2015;06.11.2015;grüental
A10430;Bagel Sandwich Fisherman's Catch;6;6;1;NA;6;0.44;06.11.csv;2015;06.11.2015;grüental
A10000;Catering;26;26;7;NA;3.71;1.18;09.11.csv;2015;09.11.2015;grüental
A10001;Favorite;945;945;121;NA;7.81;42.9;09.11.csv;2015;09.11.2015;grüental
A10002;Green;684;684;91;NA;7.52;31.05;09.11.csv;2015;09.11.2015;grüental
A10005;Menu Suppe;16.5;16.5;11;NA;1.5;0.75;09.11.csv;2015;09.11.2015;grüental
A10006;Menu Salat;60.5;60.5;35;NA;1.73;2.75;09.11.csv;2015;09.11.2015;grüental
A10012;Kitchen 2;271;271;25;NA;10.84;12.3;09.11.csv;2015;09.11.2015;grüental
A10030;Market;48.5;48.5;6;2.11;22.99;2.2;09.11.csv;2015;09.11.2015;grüental
A10040;Garden;38.8;38.8;6;1.688;22.99;1.76;09.11.csv;2015;09.11.2015;grüental
A10061;Frucht -.80;0.8;0.8;1;NA;0.8;0.04;09.11.csv;2015;09.11.2015;grüental
A10063;Frucht 1.00;4;4;4;NA;1;0.18;09.11.csv;2015;09.11.2015;grüental
A10073;Saisonfrüchte geschnitten;7;7;2;NA;3.5;0.32;09.11.csv;2015;09.11.2015;grüental
A10119;Studentenschnitte;2.4;2.4;1;NA;2.4;0.11;09.11.csv;2015;09.11.2015;grüental
A10129;Aprikosen-Bögli;2.4;2.4;1;NA;2.4;0.11;09.11.csv;2015;09.11.2015;grüental
A10130;Vanillekreuz;2.9;2.9;1;NA;2.9;0.13;09.11.csv;2015;09.11.2015;grüental
A10135;Wähe;8.8;8.8;2;NA;4.4;0.4;09.11.csv;2015;09.11.2015;grüental
A10144;Trockengebäck 100g verpackt;4.4;4.4;2;NA;2.2;0.2;09.11.csv;2015;09.11.2015;grüental
A10200;Birchermüesli Classic;12.8;12.8;4;NA;3.2;0.58;09.11.csv;2015;09.11.2015;grüental
A10410;Sandwich Milano;8;8;2;NA;4;0.36;09.11.csv;2015;09.11.2015;grüental
A10413;Sandwich Start Your Day;13.5;13.5;3;NA;4.5;0.61;09.11.csv;2015;09.11.2015;grüental
A10414;Sandwich Ham & Cheese;5.5;5.5;1;NA;5.5;0.25;09.11.csv;2015;09.11.2015;grüental
A10415;Sandwich Turkey;11;11;2;NA;5.5;0.5;09.11.csv;2015;09.11.2015;grüental
A10416;Sandwich Ticinese;6;6;1;NA;6;0.27;09.11.csv;2015;09.11.2015;grüental
A10450;Sandwich Laugenkaiser;8;8;2;NA;4;0.36;09.11.csv;2015;09.11.2015;grüental
A10451;Sandwich Bauette;15;15;3;NA;5;0.68;09.11.csv;2015;09.11.2015;grüental
A10000;Catering;64;64;13;NA;4.92;2.85;10.11.csv;2015;10.11.2015;grüental
A10001;Favorite;783;783;101;NA;7.75;34.81;10.11.csv;2015;10.11.2015;grüental
A10002;Green;610;610;80;NA;7.63;27.12;10.11.csv;2015;10.11.2015;grüental
A10004;Brot Stück;0.6;0.6;2;NA;0.3;0.03;10.11.csv;2015;10.11.2015;grüental
A10005;Menu Suppe;12;12;8;NA;1.5;0.53;10.11.csv;2015;10.11.2015;grüental
A10006;Menu Salat;33;33;20;NA;1.65;1.47;10.11.csv;2015;10.11.2015;grüental
A10012;Kitchen 2;327;327;30;NA;10.9;14.54;10.11.csv;2015;10.11.2015;grüental
A10020;Local 0;186;186;25;NA;7.44;8.27;10.11.csv;2015;10.11.2015;grüental
A10030;Market;29.4;29.4;4;1.278;23;1.31;10.11.csv;2015;10.11.2015;grüental
A10040;Garden;105;105;16;4.51;23.28;4.67;10.11.csv;2015;10.11.2015;grüental
A10061;Frucht -.80;2.4;2.4;3;NA;0.8;0.11;10.11.csv;2015;10.11.2015;grüental
A10063;Frucht 1.00;1;1;1;NA;1;0.04;10.11.csv;2015;10.11.2015;grüental
A10101;Ragusa-Gipfel;2.4;2.4;1;NA;2.4;0.11;10.11.csv;2015;10.11.2015;grüental
A10108;Laugenbrezel mit Butter;8.8;8.8;4;NA;2.2;0.39;10.11.csv;2015;10.11.2015;grüental
A10112;Maisbrötli;1.7;1.7;1;NA;1.7;0.08;10.11.csv;2015;10.11.2015;grüental
A10121;Mandelschnecke;2.4;2.4;1;NA;2.4;0.11;10.11.csv;2015;10.11.2015;grüental
A10122;Nussbrille;2.4;2.4;1;NA;2.4;0.11;10.11.csv;2015;10.11.2015;grüental
A10124;Kirschenstange;2.9;2.9;1;NA;2.9;0.13;10.11.csv;2015;10.11.2015;grüental
A10125;Nussstange;2.4;2.4;1;NA;2.4;0.11;10.11.csv;2015;10.11.2015;grüental
A10127;Aprikosenplunder;2.9;2.9;1;NA;2.9;0.13;10.11.csv;2015;10.11.2015;grüental
A10129;Aprikosen-Bögli;2.4;2.4;1;NA;2.4;0.11;10.11.csv;2015;10.11.2015;grüental
A10130;Vanillekreuz;4.8;4.8;2;NA;2.4;0.21;10.11.csv;2015;10.11.2015;grüental
A10136;Muffin;2.5;2.5;1;NA;2.5;0.11;10.11.csv;2015;10.11.2015;grüental
A10148;Fruchttörtli;2.4;2.4;1;NA;2.4;0.11;10.11.csv;2015;10.11.2015;grüental
A10161;Muffin gross;3;3;1;NA;3;0.13;10.11.csv;2015;10.11.2015;grüental
A10200;Birchermüesli Classic;12.8;12.8;4;NA;3.2;0.57;10.11.csv;2015;10.11.2015;grüental
A10410;Sandwich Milano;8;8;2;NA;4;0.36;10.11.csv;2015;10.11.2015;grüental
A10415;Sandwich Turkey;5.5;5.5;1;NA;5.5;0.24;10.11.csv;2015;10.11.2015;grüental
A10416;Sandwich Ticinese;12;12;2;NA;6;0.53;10.11.csv;2015;10.11.2015;grüental
A10430;Bagel Sandwich Fisherman's Catch;16.5;16.5;3;NA;5.5;0.73;10.11.csv;2015;10.11.2015;grüental
A10000;Catering;6.5;6.5;2;NA;3.25;0.3;11.11.csv;2015;11.11.2015;grüental
A10001;Favorite;1107;1107;142;NA;7.8;50.76;11.11.csv;2015;11.11.2015;grüental
A10002;Green;389;389;51;NA;7.63;17.84;11.11.csv;2015;11.11.2015;grüental
A100039;Portion Pommes;5.5;5.5;1;NA;5.5;0.25;11.11.csv;2015;11.11.2015;grüental
A10005;Menu Suppe;4.5;4.5;3;NA;1.5;0.21;11.11.csv;2015;11.11.2015;grüental
A10006;Menu Salat;66;66;42;NA;1.57;3.03;11.11.csv;2015;11.11.2015;grüental
A10007;Senf Mayo Ketschup;0.5;0.5;1;NA;0.5;0.02;11.11.csv;2015;11.11.2015;grüental
A10013;Kitchen 3;340;340;29;NA;11.72;15.59;11.11.csv;2015;11.11.2015;grüental
A10020;Local 0;138;138;18;NA;7.67;6.33;11.11.csv;2015;11.11.2015;grüental
A10030;Market;45.9;45.9;5;1.992;23.04;2.1;11.11.csv;2015;11.11.2015;grüental
A10040;Garden;32.2;32.2;4;1.402;22.97;1.48;11.11.csv;2015;11.11.2015;grüental
A10063;Frucht 1.00;2;2;2;NA;1;0.09;11.11.csv;2015;11.11.2015;grüental
A100700;Yogi;1.6;1.6;1;NA;1.6;0.07;11.11.csv;2015;11.11.2015;grüental
A10108;Laugenbrezel mit Butter;2.4;2.4;1;NA;2.4;0.11;11.11.csv;2015;11.11.2015;grüental
A10120;Mandelbrezel;2.9;2.9;1;NA;2.9;0.13;11.11.csv;2015;11.11.2015;grüental
A10135;Wähe;7.8;7.8;2;NA;3.9;0.36;11.11.csv;2015;11.11.2015;grüental
A10200;Birchermüesli Classic;3.2;3.2;1;NA;3.2;0.15;11.11.csv;2015;11.11.2015;grüental
A10413;Sandwich Start Your Day;4.5;4.5;1;NA;4.5;0.21;11.11.csv;2015;11.11.2015;grüental
A10414;Sandwich Ham & Cheese;5.5;5.5;1;NA;5.5;0.25;11.11.csv;2015;11.11.2015;grüental
A10416;Sandwich Ticinese;6;6;1;NA;6;0.28;11.11.csv;2015;11.11.2015;grüental
A10451;Sandwich Bauette;10;10;2;NA;5;0.46;11.11.csv;2015;11.11.2015;grüental
A10000;Catering;16;16;11;NA;1.45;0.62;12.11.csv;2015;12.11.2015;grüental
A10001;Favorite;679;679;84;NA;8.08;26.21;12.11.csv;2015;12.11.2015;grüental
A10002;Green;737;737;91;NA;8.1;28.45;12.11.csv;2015;12.11.2015;grüental
A10003;nur Fleisch Favorite;6;6;1;NA;6;0.23;12.11.csv;2015;12.11.2015;grüental
A100039;Portion Pommes;7.5;7.5;1;NA;7.5;0.29;12.11.csv;2015;12.11.2015;grüental
A10005;Menu Suppe;16.5;16.5;11;NA;1.5;0.64;12.11.csv;2015;12.11.2015;grüental
A10006;Menu Salat;77;77;46;NA;1.67;2.97;12.11.csv;2015;12.11.2015;grüental
A10007;Senf Mayo Ketschup;0.5;0.5;1;NA;0.5;0.02;12.11.csv;2015;12.11.2015;grüental
A10011;Kitchen 1;311;311;31;NA;10.03;12;12.11.csv;2015;12.11.2015;grüental
A10020;Local 0;577;577;74;NA;7.8;22.27;12.11.csv;2015;12.11.2015;grüental
A10030;Market;58.1;58.1;9;2.44;23.81;2.24;12.11.csv;2015;12.11.2015;grüental
A10040;Garden;24.2;24.2;3;1.056;22.92;0.93;12.11.csv;2015;12.11.2015;grüental
A10063;Frucht 1.00;1;1;1;NA;1;0.04;12.11.csv;2015;12.11.2015;grüental
A10073;Saisonfrüchte geschnitten;7;7;2;NA;3.5;0.27;12.11.csv;2015;12.11.2015;grüental
A10103;Vanille-Gipfel;2.4;2.4;1;NA;2.4;0.09;12.11.csv;2015;12.11.2015;grüental
A10108;Laugenbrezel mit Butter;2.2;2.2;1;NA;2.2;0.08;12.11.csv;2015;12.11.2015;grüental
A10114;Fitnessbrötli;3.4;3.4;2;NA;1.7;0.13;12.11.csv;2015;12.11.2015;grüental
A10120;Mandelbrezel;2.4;2.4;1;NA;2.4;0.09;12.11.csv;2015;12.11.2015;grüental
A10121;Mandelschnecke;2.4;2.4;1;NA;2.4;0.09;12.11.csv;2015;12.11.2015;grüental
A10124;Kirschenstange;2.4;2.4;1;NA;2.4;0.09;12.11.csv;2015;12.11.2015;grüental
A10129;Aprikosen-Bögli;2.4;2.4;1;NA;2.4;0.09;12.11.csv;2015;12.11.2015;grüental
A10135;Wähe;3.9;3.9;1;NA;3.9;0.15;12.11.csv;2015;12.11.2015;grüental
A10148;Fruchttörtli;2.4;2.4;1;NA;2.4;0.09;12.11.csv;2015;12.11.2015;grüental
A10162;Bienenstich;4.8;4.8;2;NA;2.4;0.19;12.11.csv;2015;12.11.2015;grüental
A10200;Birchermüesli Classic;6.4;6.4;2;NA;3.2;0.25;12.11.csv;2015;12.11.2015;grüental
A10410;Sandwich Milano;8;8;2;NA;4;0.31;12.11.csv;2015;12.11.2015;grüental
A10411;Sandwich Power Ham;4;4;1;NA;4;0.15;12.11.csv;2015;12.11.2015;grüental
A10413;Sandwich Start Your Day;4.5;4.5;1;NA;4.5;0.17;12.11.csv;2015;12.11.2015;grüental
A10415;Sandwich Turkey;5.5;5.5;1;NA;5.5;0.21;12.11.csv;2015;12.11.2015;grüental
A10416;Sandwich Ticinese;12;12;2;NA;6;0.46;12.11.csv;2015;12.11.2015;grüental
A10450;Sandwich Laugenkaiser;4;4;1;NA;4;0.15;12.11.csv;2015;12.11.2015;grüental
A10000;Catering;20.4;20.4;4;NA;5.1;0.94;13.11.csv;2015;13.11.2015;grüental
A10001;Favorite;828;828;107;NA;7.74;38.06;13.11.csv;2015;13.11.2015;grüental
A10002;Green;320;320;41;NA;7.8;14.71;13.11.csv;2015;13.11.2015;grüental
A10005;Menu Suppe;4.5;4.5;3;NA;1.5;0.21;13.11.csv;2015;13.11.2015;grüental
A10006;Menu Salat;87.5;87.5;57;NA;1.54;4.02;13.11.csv;2015;13.11.2015;grüental
A10007;Senf Mayo Ketschup;0.5;0.5;1;NA;0.5;0.02;13.11.csv;2015;13.11.2015;grüental
A10014;Kitchen 4;612;612;47;NA;13.02;28.13;13.11.csv;2015;13.11.2015;grüental
A10020;Local 0;213;213;28;NA;7.61;9.79;13.11.csv;2015;13.11.2015;grüental
A10030;Market;35.9;35.9;5;1.556;23.07;1.65;13.11.csv;2015;13.11.2015;grüental
A10040;Garden;15.8;15.8;3;0.688;22.97;0.73;13.11.csv;2015;13.11.2015;grüental
A10120;Mandelbrezel;2.4;2.4;1;NA;2.4;0.11;13.11.csv;2015;13.11.2015;grüental
A10144;Trockengebäck 100g verpackt;2.2;2.2;1;NA;2.2;0.1;13.11.csv;2015;13.11.2015;grüental
A10200;Birchermüesli Classic;3.2;3.2;1;NA;3.2;0.15;13.11.csv;2015;13.11.2015;grüental
A10410;Sandwich Milano;4;4;1;NA;4;0.18;13.11.csv;2015;13.11.2015;grüental
A10411;Sandwich Power Ham;4;4;1;NA;4;0.18;13.11.csv;2015;13.11.2015;grüental
A10414;Sandwich Ham & Cheese;5.5;5.5;1;NA;5.5;0.25;13.11.csv;2015;13.11.2015;grüental
A10415;Sandwich Turkey;5.5;5.5;1;NA;5.5;0.25;13.11.csv;2015;13.11.2015;grüental
A10416;Sandwich Ticinese;6;6;1;NA;6;0.28;13.11.csv;2015;13.11.2015;grüental
A10451;Sandwich Bauette;5;5;1;NA;5;0.23;13.11.csv;2015;13.11.2015;grüental
A10000;Catering;10;10;1;NA;10;0.46;16.11.csv;2015;16.11.2015;grüental
A10001;Favorite;836;836;104;NA;8.04;38.33;16.11.csv;2015;16.11.2015;grüental
A10002;Green;635;635;85;NA;7.47;29.11;16.11.csv;2015;16.11.2015;grüental
A10005;Menu Suppe;7.5;7.5;5;NA;1.5;0.34;16.11.csv;2015;16.11.2015;grüental
A10006;Menu Salat;40.5;40.5;25;NA;1.62;1.86;16.11.csv;2015;16.11.2015;grüental
A10008;Gemüseportion;3;3;2;NA;1.5;0.14;16.11.csv;2015;16.11.2015;grüental
A10012;Kitchen 2;86;86;8;NA;10.75;3.94;16.11.csv;2015;16.11.2015;grüental
A10020;Local 0;381;381;51;NA;7.47;17.47;16.11.csv;2015;16.11.2015;grüental
A10030;Market;38.4;38.4;6;1.674;22.94;1.76;16.11.csv;2015;16.11.2015;grüental
A10040;Garden;54.5;54.5;7;2.342;23.27;2.5;16.11.csv;2015;16.11.2015;grüental
A10060;Frucht -.70;0.7;0.7;1;NA;0.7;0.03;16.11.csv;2015;16.11.2015;grüental
A10063;Frucht 1.00;2;2;2;NA;1;0.09;16.11.csv;2015;16.11.2015;grüental
A10101;Ragusa-Gipfel;2.4;2.4;1;NA;2.4;0.11;16.11.csv;2015;16.11.2015;grüental
A10104;Schoggi-Gipfel;2.4;2.4;1;NA;2.4;0.11;16.11.csv;2015;16.11.2015;grüental
A10108;Laugenbrezel mit Butter;2.2;2.2;1;NA;2.2;0.1;16.11.csv;2015;16.11.2015;grüental
A10116;Semmel;1.4;1.4;1;NA;1.4;0.06;16.11.csv;2015;16.11.2015;grüental
A10119;Studentenschnitte;2.9;2.9;1;NA;2.9;0.13;16.11.csv;2015;16.11.2015;grüental
A10123;Russenzöpfli;2.4;2.4;1;NA;2.4;0.11;16.11.csv;2015;16.11.2015;grüental
A10126;Apfel im Schlafrock;2.4;2.4;1;NA;2.4;0.11;16.11.csv;2015;16.11.2015;grüental
A10127;Aprikosenplunder;2.4;2.4;1;NA;2.4;0.11;16.11.csv;2015;16.11.2015;grüental
A10128;Aprikosenjalousie;4.8;4.8;2;NA;2.4;0.22;16.11.csv;2015;16.11.2015;grüental
A10135;Wähe;4.4;4.4;1;NA;4.4;0.2;16.11.csv;2015;16.11.2015;grüental
A10200;Birchermüesli Classic;6.4;6.4;2;NA;3.2;0.29;16.11.csv;2015;16.11.2015;grüental
A10410;Sandwich Milano;8;8;2;NA;4;0.37;16.11.csv;2015;16.11.2015;grüental
A10411;Sandwich Power Ham;4;4;1;NA;4;0.18;16.11.csv;2015;16.11.2015;grüental
A10414;Sandwich Ham & Cheese;5.5;5.5;1;NA;5.5;0.25;16.11.csv;2015;16.11.2015;grüental
A10416;Sandwich Ticinese;6;6;1;NA;6;0.28;16.11.csv;2015;16.11.2015;grüental
A10430;Bagel Sandwich Fisherman's Catch;5.5;5.5;1;NA;5.5;0.25;16.11.csv;2015;16.11.2015;grüental
A10438;FB Sandwich Ham & Co;5.5;5.5;1;NA;5.5;0.25;16.11.csv;2015;16.11.2015;grüental
A10450;Sandwich Laugenkaiser;4;4;1;NA;4;0.18;16.11.csv;2015;16.11.2015;grüental
A10451;Sandwich Bauette;10;10;2;NA;5;0.46;16.11.csv;2015;16.11.2015;grüental
L19200;Sandwich offen;4;4;1;NA;4;0.18;16.11.csv;2015;16.11.2015;grüental
A10000;Catering;6.4;6.4;2;NA;3.2;0.27;17.11.csv;2015;17.11.2015;grüental
A10001;Favorite;404;404;52;NA;7.77;17.32;17.11.csv;2015;17.11.2015;grüental
A10002;Green;454;454;61;NA;7.44;19.47;17.11.csv;2015;17.11.2015;grüental
A10005;Menu Suppe;7.5;7.5;5;NA;1.5;0.32;17.11.csv;2015;17.11.2015;grüental
A10006;Menu Salat;49.5;49.5;33;NA;1.5;2.12;17.11.csv;2015;17.11.2015;grüental
A10007;Senf Mayo Ketschup;1;1;2;NA;0.5;0.04;17.11.csv;2015;17.11.2015;grüental
A10012;Kitchen 2;11;11;1;NA;11;0.47;17.11.csv;2015;17.11.2015;grüental
A10013;Kitchen 3;320;320;26;NA;12.31;13.72;17.11.csv;2015;17.11.2015;grüental
A10020;Local 0;892;892;115;NA;7.76;38.25;17.11.csv;2015;17.11.2015;grüental
A10030;Market;74.9;74.9;9;3.23;23.19;3.21;17.11.csv;2015;17.11.2015;grüental
A10040;Garden;8.8;8.8;1;0.382;23.04;0.38;17.11.csv;2015;17.11.2015;grüental
A10060;Frucht -.70;0.7;0.7;1;NA;0.7;0.03;17.11.csv;2015;17.11.2015;grüental
A10073;Saisonfrüchte geschnitten;7;7;2;NA;3.5;0.3;17.11.csv;2015;17.11.2015;grüental
A10101;Ragusa-Gipfel;2.4;2.4;1;NA;2.4;0.1;17.11.csv;2015;17.11.2015;grüental
A10103;Vanille-Gipfel;2.4;2.4;1;NA;2.4;0.1;17.11.csv;2015;17.11.2015;grüental
A10108;Laugenbrezel mit Butter;2.2;2.2;1;NA;2.2;0.09;17.11.csv;2015;17.11.2015;grüental
A10112;Maisbrötli;1.7;1.7;1;NA;1.7;0.07;17.11.csv;2015;17.11.2015;grüental
A10119;Studentenschnitte;4.8;4.8;2;NA;2.4;0.21;17.11.csv;2015;17.11.2015;grüental
A10120;Mandelbrezel;2.4;2.4;1;NA;2.4;0.1;17.11.csv;2015;17.11.2015;grüental
A10126;Apfel im Schlafrock;2.4;2.4;1;NA;2.4;0.1;17.11.csv;2015;17.11.2015;grüental
A10136;Muffin;2.5;2.5;1;NA;2.5;0.11;17.11.csv;2015;17.11.2015;grüental
A10148;Fruchttörtli;7.2;7.2;3;NA;2.4;0.31;17.11.csv;2015;17.11.2015;grüental
A10162;Bienenstich;4.8;4.8;2;NA;2.4;0.21;17.11.csv;2015;17.11.2015;grüental
A10200;Birchermüesli Classic;10.1;10.1;3;NA;3.37;0.43;17.11.csv;2015;17.11.2015;grüental
A10411;Sandwich Power Ham;4;4;1;NA;4;0.17;17.11.csv;2015;17.11.2015;grüental
A10413;Sandwich Start Your Day;4.5;4.5;1;NA;4.5;0.19;17.11.csv;2015;17.11.2015;grüental
A10415;Sandwich Turkey;5.5;5.5;1;NA;5.5;0.24;17.11.csv;2015;17.11.2015;grüental
A10416;Sandwich Ticinese;6.5;6.5;1;NA;6.5;0.28;17.11.csv;2015;17.11.2015;grüental
A10430;Bagel Sandwich Fisherman's Catch;11;11;2;NA;5.5;0.47;17.11.csv;2015;17.11.2015;grüental
A10435;FB Sandwich Emmental;5.5;5.5;1;NA;5.5;0.24;17.11.csv;2015;17.11.2015;grüental
A10438;FB Sandwich Ham & Co;5.5;5.5;1;NA;5.5;0.24;17.11.csv;2015;17.11.2015;grüental
A10451;Sandwich Bauette;10;10;2;NA;5;0.43;17.11.csv;2015;17.11.2015;grüental
A10000;Catering;4;4;1;NA;4;0.15;18.11.csv;2015;18.11.2015;grüental
A10001;Favorite;783;783;101;NA;7.75;29.57;18.11.csv;2015;18.11.2015;grüental
A10002;Green;771;771;102;NA;7.56;29.12;18.11.csv;2015;18.11.2015;grüental
A10005;Menu Suppe;9;9;6;NA;1.5;0.34;18.11.csv;2015;18.11.2015;grüental
A10006;Menu Salat;44.5;44.5;29;NA;1.53;1.68;18.11.csv;2015;18.11.2015;grüental
A10013;Kitchen 3;120;120;10;NA;12;4.53;18.11.csv;2015;18.11.2015;grüental
A10014;Kitchen 4;788;788;61;NA;12.92;29.76;18.11.csv;2015;18.11.2015;grüental
A10030;Market;37.7;37.7;5;1.64;22.99;1.42;18.11.csv;2015;18.11.2015;grüental
A10040;Garden;11.4;11.4;2;0.494;23.08;0.43;18.11.csv;2015;18.11.2015;grüental
A10072;Schichtjoghurt;3;3;1;NA;3;0.11;18.11.csv;2015;18.11.2015;grüental
A10112;Maisbrötli;1.7;1.7;1;NA;1.7;0.06;18.11.csv;2015;18.11.2015;grüental
A10121;Mandelschnecke;2.4;2.4;1;NA;2.4;0.09;18.11.csv;2015;18.11.2015;grüental
A10124;Kirschenstange;2.4;2.4;1;NA;2.4;0.09;18.11.csv;2015;18.11.2015;grüental
A10126;Apfel im Schlafrock;2.4;2.4;1;NA;2.4;0.09;18.11.csv;2015;18.11.2015;grüental
A10148;Fruchttörtli;2.4;2.4;1;NA;2.4;0.09;18.11.csv;2015;18.11.2015;grüental
A10200;Birchermüesli Classic;3.2;3.2;1;NA;3.2;0.12;18.11.csv;2015;18.11.2015;grüental
A10410;Sandwich Milano;4;4;1;NA;4;0.15;18.11.csv;2015;18.11.2015;grüental
A10411;Sandwich Power Ham;4;4;1;NA;4;0.15;18.11.csv;2015;18.11.2015;grüental
A10413;Sandwich Start Your Day;14;14;3;NA;4.67;0.53;18.11.csv;2015;18.11.2015;grüental
A10416;Sandwich Ticinese;6;6;1;NA;6;0.23;18.11.csv;2015;18.11.2015;grüental
A10417;Sandwich Softie;4;4;1;NA;4;0.15;18.11.csv;2015;18.11.2015;grüental
A10430;Bagel Sandwich Fisherman's Catch;5.5;5.5;1;NA;5.5;0.21;18.11.csv;2015;18.11.2015;grüental
A10450;Sandwich Laugenkaiser;4;4;1;NA;4;0.15;18.11.csv;2015;18.11.2015;grüental
A10451;Sandwich Bauette;20;20;4;NA;5;0.76;18.11.csv;2015;18.11.2015;grüental
A10000;Catering;8.9;8.9;2;NA;4.45;0.4;19.11.csv;2015;19.11.2015;grüental
A10001;Favorite;815;815;106;NA;7.69;36.82;19.11.csv;2015;19.11.2015;grüental
A10002;Green;389;389;51;NA;7.63;17.57;19.11.csv;2015;19.11.2015;grüental
A10005;Menu Suppe;1.5;1.5;1;NA;1.5;0.07;19.11.csv;2015;19.11.2015;grüental
A10006;Menu Salat;57.5;57.5;37;NA;1.55;2.6;19.11.csv;2015;19.11.2015;grüental
A10013;Kitchen 3;241;241;20;NA;12.05;10.89;19.11.csv;2015;19.11.2015;grüental
A10014;Kitchen 4;393;393;31;NA;12.68;17.76;19.11.csv;2015;19.11.2015;grüental
A10020;Local 0;177;177;23;NA;7.7;8;19.11.csv;2015;19.11.2015;grüental
A10024;Local 4;12;12;1;NA;12;0.54;19.11.csv;2015;19.11.2015;grüental
A10030;Market;34.1;34.1;6;1.486;22.95;1.54;19.11.csv;2015;19.11.2015;grüental
A10040;Garden;13.8;13.8;2;0.598;23.08;0.62;19.11.csv;2015;19.11.2015;grüental
A10063;Frucht 1.00;2;2;2;NA;1;0.09;19.11.csv;2015;19.11.2015;grüental
A10073;Saisonfrüchte geschnitten;7;7;2;NA;3.5;0.32;19.11.csv;2015;19.11.2015;grüental
A10108;Laugenbrezel mit Butter;2.2;2.2;1;NA;2.2;0.1;19.11.csv;2015;19.11.2015;grüental
A10119;Studentenschnitte;2.4;2.4;1;NA;2.4;0.11;19.11.csv;2015;19.11.2015;grüental
A10120;Mandelbrezel;4.8;4.8;2;NA;2.4;0.22;19.11.csv;2015;19.11.2015;grüental
