Artikel Analyse,,,,,,,,,,,,,,,,,,
,,,,,,Shops: 27907 Vista Mensa,,,,,,Gruppen: 10 Sparten SAP Küche,,,,,,
,,,,,,Kassen: Alle,,,,,,Visibility: 1 Full visibility,,,,,,
,,,,,,Bediener: Alle,,,,,,Gruppieren nach: Gruppe A,,,,,,
,,,,,,Preisebenen:Alle,,,,,,Zeige Maßeinheit: Nein,,,,,,
,,,,,,Drucke Artikel: Ja,,,,,Inkl. umsatzneutrale Artikel: Ja,,,,,,,
,,,,,,Datumsbereich: 23.12.2016 - 23.12.2016,,,,,,,,,,,,
,,,,,,Zeit Fenster: 11:00 - 13:59,,,,,,,,,,,,
,,,,,,Kunde:Alle,,,,,,,,,,,,
Gruppe,10,Sparten SAP Küche,,,,,,,,,,,,,,,,
Artikel,,,,Bruttobetrag,Nettobetrag,,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,,,,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,,Ref %,Tot %Umsatz
A10001,Favorite,,,346.00,346.00,,47,,7.36,,,,0.00,0.00,346.00,,100.00,59.61
A10002,Green,,,178.00,178.00,,24,,7.42,,,,0.00,0.00,178.00,,100.00,30.67
A10006,Menu Salat,,,1.50,1.50,,1,,1.50,,,,0.00,0.00,1.50,,100.00,0.26
A10040,Garden,,,44.50,44.50,,9,1.904,23.37,,,,0.00,0.00,44.50,,100.00,7.67
A10072,Schichtjoghurt,,,3.00,3.00,,1,,3.00,,,,0.00,0.00,3.00,,100.00,0.52
A10101,Ragusa-Gipfel ,,,2.40,2.40,,1,,2.40,,,,0.00,0.00,2.40,,100.00,0.41
A10451,Sandwich Bauette,,,5.00,5.00,,1,,5.00,,,,0.00,0.00,5.00,,100.00,0.86
Total Gruppe,,,,580.40,580.40,,84,1.904,6.91,,,,0.00,0.00,580.40,,,100.00
Total,,,,580.40,580.40,,84,1.904,6.91,,,,0.00,0.00,580.40,,,
"Mittwoch, 08 März 2017 12:13",,,Gedruckt durch 201 RM,,,,,,,Visibility: 1 Full visibility,,,,,,Seite 1 von 1,,
