Artikel Analyse,,,,,,,,,,,,,,,,,,
,,,,,,Shops: 27907 Vista Mensa,,,,,,Gruppen: 10 Sparten SAP Küche,,,,,,
,,,,,,Kassen: Alle,,,,,,Visibility: 1 Full visibility,,,,,,
,,,,,,Bediener: Alle,,,,,,Gruppieren nach: Gruppe A,,,,,,
,,,,,,Preisebenen:Alle,,,,,,Zeige Maßeinheit: Nein,,,,,,
,,,,,,Drucke Artikel: Ja,,,,,Inkl. umsatzneutrale Artikel: Ja,,,,,,,
,,,,,,Datumsbereich: 24.11.2016 - 24.11.2016,,,,,,,,,,,,
,,,,,,Zeit Fenster: 11:00 - 13:59,,,,,,,,,,,,
,,,,,,Kunde:Alle,,,,,,,,,,,,
Gruppe,10,Sparten SAP Küche,,,,,,,,,,,,,,,,
Artikel,,,,Bruttobetrag,Nettobetrag,,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,,,,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,,Ref %,Tot %Umsatz
A10000,Küche,,,11.00,11.00,,2,,5.50,,,,0.00,0.00,11.00,,100.00,0.68
A10001,Favorite,,,279.00,279.00,,37,,7.54,,,,0.00,0.00,279.00,,100.00,17.37
A10002,Green,,,246.00,246.00,,33,,7.45,,,,0.00,0.00,246.00,,100.00,15.31
A100039,Portion Pommes,,,16.50,16.50,,3,,5.50,,,,0.00,0.00,16.50,,100.00,1.03
A10005,Menu Suppe,,,7.50,7.50,,5,,1.50,,,,0.00,0.00,7.50,,100.00,0.47
A10006,Menu Salat,,,24.00,24.00,,16,,1.50,,,,0.00,0.00,24.00,,100.00,1.49
A10007,Senf Mayo Ketschup,,,0.50,0.50,,1,,0.50,,,,0.00,0.00,0.50,,100.00,0.03
A10012,Kitchen 2,,,476.00,476.00,,45,,10.58,,,,0.00,0.00,476.00,,100.00,29.63
A10020,Local 0,,,339.00,339.00,,47,,7.21,,,,0.00,0.00,339.00,,100.00,21.10
A10040,Garden,,,174.30,174.30,,23,7.584,22.98,,,,0.00,0.00,174.30,,100.00,10.85
A10101,Ragusa-Gipfel ,,,4.80,4.80,,2,,2.40,,,,0.00,0.00,4.80,,100.00,0.30
A10102,Mandelgipfel ,,,2.40,2.40,,1,,2.40,,,,0.00,0.00,2.40,,100.00,0.15
A10108,Laugenbrezel mit Butter,,,2.20,2.20,,1,,2.20,,,,0.00,0.00,2.20,,100.00,0.14
A10111,Schoggi Fair,,,2.20,2.20,,1,,2.20,,,,0.00,0.00,2.20,,100.00,0.14
A10200,Birchermüesli Classic,,,3.20,3.20,,1,,3.20,,,,0.00,0.00,3.20,,100.00,0.20
A10409,Sandwich Appenzell,,,5.50,5.50,,1,,5.50,,,,0.00,0.00,5.50,,100.00,0.34
A10416,Sandwich Ticinese,,,12.50,12.50,,2,,6.25,,,,0.00,0.00,12.50,,100.00,0.78
Total Gruppe,,,,"1,606.60","1,606.60",,221,7.584,7.27,,,,0.00,0.00,"1,606.60",,,100.00
Total,,,,"1,606.60","1,606.60",,221,7.584,7.27,,,,0.00,0.00,"1,606.60",,,
"Mittwoch, 08 März 2017 12:08",,,Gedruckt durch 201 RM,,,,,,,Visibility: 1 Full visibility,,,,,,Seite 1 von 1,,
