Artikel Analyse,,,,,,,,,,,,,,,,,,
,,,,,,Shops: 27907 Vista Mensa,,,,,,Gruppen: 10 Sparten SAP Küche,,,,,,
,,,,,,Kassen: Alle,,,,,,Visibility: 1 Full visibility,,,,,,
,,,,,,Bediener: Alle,,,,,,Gruppieren nach: Gruppe A,,,,,,
,,,,,,Preisebenen:Alle,,,,,,Zeige Maßeinheit: Nein,,,,,,
,,,,,,Drucke Artikel: Ja,,,,,Inkl. umsatzneutrale Artikel: Ja,,,,,,,
,,,,,,Datumsbereich: 12.10.2016 - 12.10.2016,,,,,,,,,,,,
,,,,,,Zeit Fenster: 11:00 - 13:59,,,,,,,,,,,,
,,,,,,Kunde:Alle,,,,,,,,,,,,
Gruppe,10,Sparten SAP Küche,,,,,,,,,,,,,,,,
Artikel,,,,Bruttobetrag,Nettobetrag,,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,,,,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,,Ref %,Tot %Umsatz
A10000,Küche,,,49.40,49.40,,7,,7.06,,,,0.00,0.00,49.40,,100.00,2.90
A10001,Favorite,,,547.00,547.00,,76,,7.20,,,,0.00,0.00,547.00,,100.00,32.12
A10002,Green,,,282.00,282.00,,37,,7.62,,,,0.00,0.00,282.00,,100.00,16.56
A10005,Menu Suppe,,,3.00,3.00,,2,,1.50,,,,0.00,0.00,3.00,,100.00,0.18
A10006,Menu Salat,,,15.00,15.00,,10,,1.50,,,,0.00,0.00,15.00,,100.00,0.88
A10014,Kitchen 4,,,603.00,603.00,,48,,12.56,,,,0.00,0.00,603.00,,100.00,35.41
A10024,Local 4,,,13.00,13.00,,1,,13.00,,,,0.00,0.00,13.00,,100.00,0.76
A10040,Garden,,,158.80,158.80,,21,6.810,23.32,,,,0.00,0.00,158.80,,100.00,9.33
A10101,Ragusa-Gipfel ,,,2.40,2.40,,1,,2.40,,,,0.00,0.00,2.40,,100.00,0.14
A10102,Mandelgipfel ,,,2.40,2.40,,1,,2.40,,,,0.00,0.00,2.40,,100.00,0.14
A10103,Vanille-Gipfel,,,4.80,4.80,,2,,2.40,,,,0.00,0.00,4.80,,100.00,0.28
A10111,Schoggi Fair,,,6.60,6.60,,3,,2.20,,,,0.00,0.00,6.60,,100.00,0.39
A10114,Fitnessbrötli ,,,2.20,2.20,,1,,2.20,,,,0.00,0.00,2.20,,100.00,0.13
A10117,Nuss-Semmel ,,,1.70,1.70,,1,,1.70,,,,0.00,0.00,1.70,,100.00,0.10
A10143,Trockengebäck Lyner verpackt,,,5.30,5.30,,2,,2.65,,,,0.00,0.00,5.30,,100.00,0.31
A10161,Muffin gross,,,3.00,3.00,,1,,3.00,,,,0.00,0.00,3.00,,100.00,0.18
A10200,Birchermüesli Classic,,,3.20,3.20,,1,,3.20,,,,0.00,0.00,3.20,,100.00,0.19
Total Gruppe,,,,"1,702.80","1,702.80",,215,6.810,7.92,,,,0.00,0.00,"1,702.80",,,100.00
Total,,,,"1,702.80","1,702.80",,215,6.810,7.92,,,,0.00,0.00,"1,702.80",,,
"Mittwoch, 08 März 2017 12:00",,,Gedruckt durch 201 RM,,,,,,,Visibility: 1 Full visibility,,,,,,Seite 1 von 1,,
