ID;Artikel;NA;Bruttobetrag;Nettobetrag;Verkaufte Stücke;Gewicht verkauft;Durchschnittlicher Preis;Referenzbetrag;Ref %;Tot %Umsatz;source;year
730;A100039;Portion Pommes;7.5;7.5;1;0;7.5;7.5;100;0.08;KW23.xlsx;2016
731;A10006;Menu Salat;299.5;299.5;185;0;1.62;299.5;100;3.29;KW23.xlsx;2016
732;A10007;Senf Mayo Ketschup;1.5;1.5;3;0;0.5;1.5;100;0.02;KW23.xlsx;2016
733;A10008;Gemüseportion;1.5;1.5;1;0;1.5;1.5;100;0.02;KW23.xlsx;2016
734;A10014;Kitchen 4;889;889;68;0;13.07;889;100;9.77;KW23.xlsx;2016
735;A10020;Local 0;1'151.00;1'151.00;138;0;8.34;1'151.00;100;12.65;KW23.xlsx;2016
736;A10040;Garden;649.5;649.5;75;28.03;23.17;649.5;100;7.14;KW23.xlsx;2016
737;A10063;Frucht 1.00;8;8;8;0;1;8;100;0.09;KW23.xlsx;2016
738;A100700;Yogi;1.8;1.8;1;0;1.8;1.8;100;0.02;KW23.xlsx;2016
739;A10073;Saisonfrüchte geschnitten;7;7;2;0;3.5;7;100;0.08;KW23.xlsx;2016
740;A10108;Laugenbrezel mit Butter;2.2;2.2;1;0;2.2;2.2;100;0.02;KW23.xlsx;2016
741;A10114;Fitnessbrötli ;5.3;5.3;3;0;1.77;5.3;100;0.06;KW23.xlsx;2016
742;A10121;Mandelschnecke ;4.8;4.8;2;0;2.4;4.8;100;0.05;KW23.xlsx;2016
743;A10123;Russenzöpfli;10.1;10.1;4;0;2.53;10.1;100;0.11;KW23.xlsx;2016
744;A10126;Apfel im Schlafrock;5.3;5.3;2;0;2.65;5.3;100;0.06;KW23.xlsx;2016
745;A10128;Aprikosenjalousie;7.7;7.7;3;0;2.57;7.7;100;0.08;KW23.xlsx;2016
746;A10135;Wähe;11.7;11.7;3;0;3.9;11.7;100;0.13;KW23.xlsx;2016
747;A10139;Zitronencake-Schnitte 100g verpackt;2.9;2.9;1;0;2.9;2.9;100;0.03;KW23.xlsx;2016
748;A10144;Trockengebäck 100g verpackt;9.3;9.3;4;0;2.33;9.3;100;0.1;KW23.xlsx;2016
749;A10148;Fruchttörtli;7.7;7.7;3;0;2.57;7.7;100;0.08;KW23.xlsx;2016
