ID;Artikel;NA;Bruttobetrag;Nettobetrag;Verkaufte Stücke;Gewicht verkauft;Durchschnittlicher Preis;Referenzbetrag;Ref %;Tot %Umsatz;source;year
1;A10000;Küche;103;103;15;0;6.87;103;100;1;KW33.xlsx;2015
2;A10001;Favorite;3'110.00;3'110.00;404;0;7.7;3'110.00;100;30.16;KW33.xlsx;2015
3;A10002;Green;2'600.00;2'600.00;345;0;7.54;2'600.00;100;25.21;KW33.xlsx;2015
4;A10004;Brot Stück;0.3;0.3;1;0;0.3;0.3;100;0;KW33.xlsx;2015
5;A10005;Menu Suppe;37.5;37.5;25;0;1.5;37.5;100;0.36;KW33.xlsx;2015
6;A10006;Menu Salat;316;316;206;0;1.53;316;100;3.06;KW33.xlsx;2015
7;A10007;Senf Mayo Ketschup;3.5;3.5;7;0;0.5;3.5;100;0.03;KW33.xlsx;2015
8;A10011;Kitchen 1;683;683;70;0;9.76;683;100;6.62;KW33.xlsx;2015
9;A10013;Kitchen 3;382;382;32;0;11.94;382;100;3.7;KW33.xlsx;2015
10;A10014;Kitchen 4;519;519;41;0;12.66;519;100;5.03;KW33.xlsx;2015
11;A10020;Local 0;1'596.00;1'596.00;212;0;7.53;1'596.00;100;15.48;KW33.xlsx;2015
12;A10030;Market;248.3;248.3;35;10.75;23.1;248.3;100;2.41;KW33.xlsx;2015
13;A10040;Garden;257.2;257.2;34;11.01;23.36;257.2;100;2.49;KW33.xlsx;2015
14;A10061;Frucht -.80;2.4;2.4;3;0;0.8;2.4;100;0.02;KW33.xlsx;2015
15;A10063;Frucht 1.00;5;5;5;0;1;5;100;0.05;KW33.xlsx;2015
16;A10070;Yogurt 150g;2.1;2.1;1;0;2.1;2.1;100;0.02;KW33.xlsx;2015
17;A100700;Yogi;1.6;1.6;1;0;1.6;1.6;100;0.02;KW33.xlsx;2015
18;A10072;Schichtjoghurt;9;9;3;0;3;9;100;0.09;KW33.xlsx;2015
19;A10073;Saisonfrüchte geschnitten;14;14;4;0;3.5;14;100;0.14;KW33.xlsx;2015
20;A10074;Milchreis;2.3;2.3;1;0;2.3;2.3;100;0.02;KW33.xlsx;2015
