Artikel Analyse,,,,,,,,,,,,,,,,,,
,,,,,,Shops: 27907 Vista Mensa,,,,,,Gruppen: 10 Sparten SAP Küche,,,,,,
,,,,,,Kassen: Alle,,,,,,Visibility: 1 Full visibility,,,,,,
,,,,,,Bediener: Alle,,,,,,Gruppieren nach: Gruppe A,,,,,,
,,,,,,Preisebenen:Alle,,,,,,Zeige Maßeinheit: Nein,,,,,,
,,,,,,Drucke Artikel: Ja,,,,,Inkl. umsatzneutrale Artikel: Ja,,,,,,,
,,,,,,Datumsbereich: 06.10.2015 - 06.10.2015,,,,,,,,,,,,
,,,,,,Zeit Fenster: 11:00 - 13:59,,,,,,,,,,,,
,,,,,,Kunde:Alle,,,,,,,,,,,,
Gruppe,10,Sparten SAP Küche,,,,,,,,,,,,,,,,
Artikel,,,,Bruttobetrag,Nettobetrag,,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,,,,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,,Ref %,Tot %Umsatz
A10000,Küche,,,8.00,8.00,,2,,4.00,,,,0.00,0.00,8.00,,100.00,0.42
A10001,Favorite,,,"1,044.00","1,044.00",,143,,7.30,,,,0.00,0.00,"1,044.00",,100.00,55.45
A10002,Green,,,377.00,377.00,,51,,7.39,,,,0.00,0.00,377.00,,100.00,20.02
A10006,Menu Salat,,,48.00,48.00,,32,,1.50,,,,0.00,0.00,48.00,,100.00,2.55
A10007,Senf Mayo Ketschup,,,2.00,2.00,,4,,0.50,,,,0.00,0.00,2.00,,100.00,0.11
A10012,Kitchen 2,,,163.00,163.00,,15,,10.87,,,,0.00,0.00,163.00,,100.00,8.66
A10020,Local 0,,,102.00,102.00,,14,,7.29,,,,0.00,0.00,102.00,,100.00,5.42
A10040,Garden,,,62.30,62.30,,11,2.658,23.44,,,,0.00,0.00,62.30,,100.00,3.31
A10060,Frucht -.70,,,0.70,0.70,,1,,0.70,,,,0.00,0.00,0.70,,100.00,0.04
A10072,Schichtjoghurt,,,3.00,3.00,,1,,3.00,,,,0.00,0.00,3.00,,100.00,0.16
A10102,Mandelgipfel ,,,4.80,4.80,,2,,2.40,,,,0.00,0.00,4.80,,100.00,0.25
A10104,Schoggi-Gipfel ,,,2.40,2.40,,1,,2.40,,,,0.00,0.00,2.40,,100.00,0.13
A10126,Apfel im Schlafrock,,,2.40,2.40,,1,,2.40,,,,0.00,0.00,2.40,,100.00,0.13
A10131,Vanille/Apfelstange,,,2.40,2.40,,1,,2.40,,,,0.00,0.00,2.40,,100.00,0.13
A10200,Birchermüesli Classic,,,3.20,3.20,,1,,3.20,,,,0.00,0.00,3.20,,100.00,0.17
A10409,Sandwich Appenzell,,,13.00,13.00,,2,,6.50,,,,0.00,0.00,13.00,,100.00,0.69
A10413,Sandwich Start Your Day,,,4.50,4.50,,1,,4.50,,,,0.00,0.00,4.50,,100.00,0.24
A10417,Sandwich Softie,,,4.00,4.00,,1,,4.00,,,,0.00,0.00,4.00,,100.00,0.21
A10418,Sandwich Gruyere Semmel,,,4.00,4.00,,1,,4.00,,,,0.00,0.00,4.00,,100.00,0.21
A10422,Sandwich Turkey Classic,,,6.50,6.50,,1,,6.50,,,,0.00,0.00,6.50,,100.00,0.35
A10428,Bagel Sandwich Vegi Delight,,,5.50,5.50,,1,,5.50,,,,0.00,0.00,5.50,,100.00,0.29
A10451,Sandwich Bauette,,,20.00,20.00,,4,,5.00,,,,0.00,0.00,20.00,,100.00,1.06
Total Gruppe,,,,"1,882.70","1,882.70",,291,2.658,6.47,,,,0.00,0.00,"1,882.70",,,100.00
Total,,,,"1,882.70","1,882.70",,291,2.658,6.47,,,,0.00,0.00,"1,882.70",,,
"Mittwoch, 08 März 2017 11:34",,,Gedruckt durch 201 RM,,,,,,,Visibility: 1 Full visibility,,,,,,Seite 1 von 1,,
