"";"Artikel";"name";"Bruttobetrag";"Nettobetrag";"Verkaufte.Stücke";"Gewicht.verkauft";"Durchschnittlicher.Preis";"Rabattierter.Betrag";"Durchschnittlicher.Rabatt";"Referenzbetrag";"Ref..";"Tot..Umsatz";"source";"year"
"1";"A10000";"Küche";103;103;15;NA;6,87;0;0;103;100;0,998710403071762;"KW33.xlsx";2015
"2";"A10001";"Favorite";3110;3110;404;NA;7,7;0;0;3110;100;30,1552364422639;"KW33.xlsx";2015
"3";"A10002";"Green";2600;2600;345;NA;7,54;0;0;2600;100;25,2101655144328;"KW33.xlsx";2015
"4";"A10004";"Brot Stück";0,3;0,3;1;NA;0,3;0;0;0,3;100;0,00290886525166533;"KW33.xlsx";2015
"5";"A10005";"Menu Suppe";37,5;37,5;25;NA;1,5;0;0;37,5;100;0,363608156458166;"KW33.xlsx";2015
"6";"A10006";"Menu Salat";316;316;206;NA;1,53;0;0;316;100;3,06400473175414;"KW33.xlsx";2015
"7";"A10007";"Senf Mayo Ketschup";3,5;3,5;7;NA;0,5;0;0;3,5;100;0,0339367612694288;"KW33.xlsx";2015
"8";"A10011";"Kitchen 1";683;683;70;NA;9,76;0;0;683;100;6,62251655629139;"KW33.xlsx";2015
"9";"A10013";"Kitchen 3";382;382;32;NA;11,94;0;0;382;100;3,70395508712051;"KW33.xlsx";2015
"10";"A10014";"Kitchen 4";519;519;41;NA;12,66;0;0;519;100;5,03233688538101;"KW33.xlsx";2015
"11";"A10020";"Local 0";1596;1596;212;NA;7,53;0;0;1596;100;15,4751631388595;"KW33.xlsx";2015
"12";"A10030";"Market";248,3;248,3;35;10,75;23,1;0;0;248,3;100;2,40757080662833;"KW33.xlsx";2015
"13";"A10040";"Garden";257,2;257,2;34;11,008;23,36;0;0;257,2;100;2,49386714242774;"KW33.xlsx";2015
"14";"A10061";"Frucht -.80";2,4;2,4;3;NA;0,8;0;0;2,4;100;0,0232709220133226;"KW33.xlsx";2015
"15";"A10063";"Frucht 1.00";5;5;5;NA;1;0;0;5;100;0,0484810875277554;"KW33.xlsx";2015
"16";"A10070";"Yogurt 150g";2,1;2,1;1;NA;2,1;0;0;2,1;100;0,0203620567616573;"KW33.xlsx";2015
"17";"A100700";"Yogi";1,6;1,6;1;NA;1,6;0;0;1,6;100;0,0155139480088817;"KW33.xlsx";2015
"18";"A10072";"Schichtjoghurt";9;9;3;NA;3;0;0;9;100;0,0872659575499598;"KW33.xlsx";2015
"19";"A10073";"Saisonfrüchte geschnitten";14;14;4;NA;3,5;0;0;14;100;0,135747045077715;"KW33.xlsx";2015
"20";"A10074";"Milchreis";2,3;2,3;1;NA;2,3;0;0;2,3;100;0,0223013002627675;"KW33.xlsx";2015
"21";"A10100";"Gipfel";1,3;1,3;1;NA;1,3;0;0;1,3;100;0,0126050827572164;"KW33.xlsx";2015
"22";"A10101";"Ragusa-Gipfel ";19,7;19,7;8;NA;2,46;0;0;19,7;100;0,191015484859356;"KW33.xlsx";2015
"23";"A10103";"Vanille-Gipfel";4,8;4,8;2;NA;2,4;0;0;4,8;100;0,0465418440266452;"KW33.xlsx";2015
"24";"A10111";"Schoggi Fair";2,2;2,2;1;NA;2,2;0;0;2,2;100;0,0213316785122124;"KW33.xlsx";2015
"25";"A10114";"Fitnessbrötli ";1,7;1,7;1;NA;1,7;0;0;1,7;100;0,0164835697594368;"KW33.xlsx";2015
"26";"A10119";"Studentenschnitte ";2,9;2,9;1;NA;2,9;0;0;2,9;100;0,0281190307660981;"KW33.xlsx";2015
"27";"A10121";"Mandelschnecke ";5,3;5,3;2;NA;2,65;0;0;5,3;100;0,0513899527794207;"KW33.xlsx";2015
"28";"A10122";"Nussbrille";2,4;2,4;1;NA;2,4;0;0;2,4;100;0,0232709220133226;"KW33.xlsx";2015
"29";"A10123";"Russenzöpfli";2,4;2,4;1;NA;2,4;0;0;2,4;100;0,0232709220133226;"KW33.xlsx";2015
"30";"A10126";"Apfel im Schlafrock";2,4;2,4;1;NA;2,4;0;0;2,4;100;0,0232709220133226;"KW33.xlsx";2015
"31";"A10127";"Aprikosenplunder";2,4;2,4;1;NA;2,4;0;0;2,4;100;0,0232709220133226;"KW33.xlsx";2015
"32";"A10128";"Aprikosenjalousie";2,4;2,4;1;NA;2,4;0;0;2,4;100;0,0232709220133226;"KW33.xlsx";2015
"33";"A10130";"Vanillekreuz";2,4;2,4;1;NA;2,4;0;0;2,4;100;0,0232709220133226;"KW33.xlsx";2015
"34";"A10131";"Vanille/Apfelstange";2,4;2,4;1;NA;2,4;0;0;2,4;100;0,0232709220133226;"KW33.xlsx";2015
"35";"A10135";"Wähe";31,2;31,2;8;NA;3,9;0;0;31,2;100;0,302521986173194;"KW33.xlsx";2015
"36";"A10144";"Trockengebäck 100g verpackt";15,9;15,9;7;NA;2,27;0;0;15,9;100;0,154169858338262;"KW33.xlsx";2015
"37";"A10148";"Fruchttörtli";7,2;7,2;3;NA;2,4;0;0;7,2;100;0,0698127660399678;"KW33.xlsx";2015
"38";"A10200";"Birchermüesli Classic";26,1;26,1;8;NA;3,26;0;0;26,1;100;0,253071276894883;"KW33.xlsx";2015
"39";"A10410";"Sandwich Milano";32;32;8;NA;4;0;0;32;100;0,310278960177635;"KW33.xlsx";2015
"40";"A10411";"Sandwich Power Ham";12;12;3;NA;4;0;0;12;100;0,116354610066613;"KW33.xlsx";2015
"41";"A10413";"Sandwich Start Your Day";9,5;9,5;2;NA;4,75;0;0;9,5;100;0,0921140663027353;"KW33.xlsx";2015
