Artikel Analyse,,,,,,,,,,,,,,,,,,
,,,,,,Shops: 27907 Vista Mensa,,,,,,Gruppen: 10 Sparten SAP Küche,,,,,,
,,,,,,Kassen: Alle,,,,,,Visibility: 1 Full visibility,,,,,,
,,,,,,Bediener: Alle,,,,,,Gruppieren nach: Gruppe A,,,,,,
,,,,,,Preisebenen:Alle,,,,,,Zeige Maßeinheit: Nein,,,,,,
,,,,,,Drucke Artikel: Ja,,,,,Inkl. umsatzneutrale Artikel: Ja,,,,,,,
,,,,,,Datumsbereich: 16.09.2016 - 16.09.2016,,,,,,,,,,,,
,,,,,,Zeit Fenster: 11:00 - 13:59,,,,,,,,,,,,
,,,,,,Kunde:Alle,,,,,,,,,,,,
Gruppe,10,Sparten SAP Küche,,,,,,,,,,,,,,,,
Artikel,,,,Bruttobetrag,Nettobetrag,,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,,,,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,,Ref %,Tot %Umsatz
A10000,Küche,,,7.50,7.50,,1,,7.50,,,,0.00,0.00,7.50,,100.00,1.37
A10001,Favorite,,,369.00,369.00,,46,,8.02,,,,0.00,0.00,369.00,,100.00,67.26
A10002,Green,,,69.00,69.00,,8,,8.63,,,,0.00,0.00,69.00,,100.00,12.58
A10006,Menu Salat,,,10.50,10.50,,7,,1.50,,,,0.00,0.00,10.50,,100.00,1.91
A10007,Senf Mayo Ketschup,,,0.50,0.50,,1,,0.50,,,,0.00,0.00,0.50,,100.00,0.09
A10040,Garden,,,85.70,85.70,,15,3.712,23.09,,,,0.00,0.00,85.70,,100.00,15.62
A10200,Birchermüesli Classic,,,6.40,6.40,,2,,3.20,,,,0.00,0.00,6.40,,100.00,1.17
Total Gruppe,,,,548.60,548.60,,80,3.712,6.86,,,,0.00,0.00,548.60,,,100.00
Total,,,,548.60,548.60,,80,3.712,6.86,,,,0.00,0.00,548.60,,,
"Mittwoch, 08 März 2017 11:55",,,Gedruckt durch 201 RM,,,,,,,Visibility: 1 Full visibility,,,,,,Seite 1 von 1,,
