Artikel Analyse,,,,,,,,,,,,,,,,,,
,,,,,,Shops: 27907 Vista Mensa,,,,,,Gruppen: 10 Sparten SAP Küche,,,,,,
,,,,,,Kassen: Alle,,,,,,Visibility: 1 Full visibility,,,,,,
,,,,,,Bediener: Alle,,,,,,Gruppieren nach: Gruppe A,,,,,,
,,,,,,Preisebenen:Alle,,,,,,Zeige Maßeinheit: Nein,,,,,,
,,,,,,Drucke Artikel: Ja,,,,,Inkl. umsatzneutrale Artikel: Ja,,,,,,,
,,,,,,Datumsbereich: 07.09.2016 - 07.09.2016,,,,,,,,,,,,
,,,,,,Zeit Fenster: 11:00 - 13:59,,,,,,,,,,,,
,,,,,,Kunde:Alle,,,,,,,,,,,,
Gruppe,10,Sparten SAP Küche,,,,,,,,,,,,,,,,
Artikel,,,,Bruttobetrag,Nettobetrag,,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,,,,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,,Ref %,Tot %Umsatz
A10001,Favorite,,,224.00,224.00,,29,,7.72,,,,0.00,0.00,224.00,,100.00,39.17
A10002,Green,,,70.00,70.00,,9,,7.78,,,,0.00,0.00,70.00,,100.00,12.24
A10006,Menu Salat,,,6.00,6.00,,4,,1.50,,,,0.00,0.00,6.00,,100.00,1.05
A10014,Kitchen 4,,,129.00,129.00,,10,,12.90,,,,0.00,0.00,129.00,,100.00,22.56
A10040,Garden,,,134.90,134.90,,19,5.810,23.22,,,,0.00,0.00,134.90,,100.00,23.59
A10102,Mandelgipfel ,,,2.40,2.40,,1,,2.40,,,,0.00,0.00,2.40,,100.00,0.42
A10136,Muffin,,,5.50,5.50,,2,,2.75,,,,0.00,0.00,5.50,,100.00,0.96
Total Gruppe,,,,571.80,571.80,,74,5.810,7.73,,,,0.00,0.00,571.80,,,100.00
Total,,,,571.80,571.80,,74,5.810,7.73,,,,0.00,0.00,571.80,,,
"Mittwoch, 08 März 2017 11:53",,,Gedruckt durch 201 RM,,,,,,,Visibility: 1 Full visibility,,,,,,Seite 1 von 1,,
