Artikel Analyse,,,,,,,,,,,,,,,,,,
,,,,,,Shops: 27907 Vista Mensa,,,,,,Gruppen: 10 Sparten SAP Küche,,,,,,
,,,,,,Kassen: Alle,,,,,,Visibility: 1 Full visibility,,,,,,
,,,,,,Bediener: Alle,,,,,,Gruppieren nach: Gruppe A,,,,,,
,,,,,,Preisebenen:Alle,,,,,,Zeige Maßeinheit: Nein,,,,,,
,,,,,,Drucke Artikel: Ja,,,,,Inkl. umsatzneutrale Artikel: Ja,,,,,,,
,,,,,,Datumsbereich: 14.09.2016 - 14.09.2016,,,,,,,,,,,,
,,,,,,Zeit Fenster: 11:00 - 13:59,,,,,,,,,,,,
,,,,,,Kunde:Alle,,,,,,,,,,,,
Gruppe,10,Sparten SAP Küche,,,,,,,,,,,,,,,,
Artikel,,,,Bruttobetrag,Nettobetrag,,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,,,,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,,Ref %,Tot %Umsatz
A10000,Küche,,,10.40,10.40,,2,,5.20,,,,0.00,0.00,10.40,,100.00,1.18
A10001,Favorite,,,502.00,502.00,,65,,7.72,,,,0.00,0.00,502.00,,100.00,57.18
A10002,Green,,,216.00,216.00,,29,,7.45,,,,0.00,0.00,216.00,,100.00,24.60
A10006,Menu Salat,,,24.00,24.00,,16,,1.50,,,,0.00,0.00,24.00,,100.00,2.73
A10040,Garden,,,119.60,119.60,,19,5.140,23.27,,,,0.00,0.00,119.60,,100.00,13.62
A10072,Schichtjoghurt,,,3.00,3.00,,1,,3.00,,,,0.00,0.00,3.00,,100.00,0.34
A10164,Hausgemachter Kuchen,,,3.00,3.00,,1,,3.00,,,,0.00,0.00,3.00,,100.00,0.34
Total Gruppe,,,,878.00,878.00,,133,5.140,6.60,,,,0.00,0.00,878.00,,,100.00
Total,,,,878.00,878.00,,133,5.140,6.60,,,,0.00,0.00,878.00,,,
"Mittwoch, 08 März 2017 11:54",,,Gedruckt durch 201 RM,,,,,,,Visibility: 1 Full visibility,,,,,,Seite 1 von 1,,
