Artikel,name,Bruttobetrag,Nettobetrag,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,Ref %,Tot %Umsatz,source,year
A10403,Bagel 1,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.37,04.09.csv,2015
A10405,Sandwich,18.5,18.5,4,NA,4.63,0,0,18.5,100,1.24,04.09.csv,2015
Total Gruppe,NA,1490.8,1490.8,165,2.48,9.04,0,0,1490.8,NA,100,04.09.csv,2015
A10000,Küche,57.1,57.1,12,NA,4.76,0,0,57.1,100,2.2,07.09.csv,2015
A10001,Favorite,473,473,61,NA,7.75,0,0,473,100,18.25,07.09.csv,2015
A10002,Green,641,641,84,NA,7.63,0,0,641,100,24.73,07.09.csv,2015
A10006,Menu Salat,49,49,32,NA,1.53,0,0,49,100,1.89,07.09.csv,2015
A10013,Kitchen 3,590,590,50,NA,11.8,0,0,590,100,22.76,07.09.csv,2015
A10020,Local 0,515,515,70,NA,7.36,0,0,515,100,19.87,07.09.csv,2015
A10040,Garden,140.4,140.4,20,6.048,23.21,0,0,140.4,100,5.42,07.09.csv,2015
A10072,Schichtjoghurt,3,3,1,NA,3,0,0,3,100,0.12,07.09.csv,2015
A10073,Saisonfrüchte geschnitten,7,7,2,NA,3.5,0,0,7,100,0.27,07.09.csv,2015
A10108,Laugenbrezel mit Butter,2.2,2.2,1,NA,2.2,0,0,2.2,100,0.08,07.09.csv,2015
A10121,Mandelschnecke ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.09,07.09.csv,2015
A10122,Nussbrille,2.5,2.5,1,NA,2.5,0,0,2.5,100,0.1,07.09.csv,2015
A10123,Russenzöpfli,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.09,07.09.csv,2015
A10131,Vanille/Apfelstange,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.09,07.09.csv,2015
A10136,Muffin,2.5,2.5,1,NA,2.5,0,0,2.5,100,0.1,07.09.csv,2015
A10200,Birchermüesli Classic,16,16,5,NA,3.2,0,0,16,100,0.62,07.09.csv,2015
A10410,Sandwich Milano,12,12,3,NA,4,0,0,12,100,0.46,07.09.csv,2015
A10413,Sandwich Start Your Day,36,36,8,NA,4.5,0,0,36,100,1.39,07.09.csv,2015
A10415,Sandwich Turkey,11,11,2,NA,5.5,0,0,11,100,0.42,07.09.csv,2015
A10422,Sandwich Turkey Classic,6.5,6.5,1,NA,6.5,0,0,6.5,100,0.25,07.09.csv,2015
A10427,Bagel Sandwich Tandoori,6,6,1,NA,6,0,0,6,100,0.23,07.09.csv,2015
A10430,Bagel Sandwich Fisherman's Catch,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.21,07.09.csv,2015
L19200,Sandwich offen,9.5,9.5,2,NA,4.75,0,0,9.5,100,0.37,07.09.csv,2015
Total Gruppe,NA,2592.4,2592.4,361,6.048,7.18,0,0,2592.4,NA,100,07.09.csv,2015
A10000,Küche,27.3,27.3,3,NA,9.1,0,0,27.3,100,1.15,08.09.csv,2015
A10001,Favorite,847,847,112,NA,7.56,0,0,847,100,35.63,08.09.csv,2015
A10002,Green,525,525,68,NA,7.72,0,0,525,100,22.08,08.09.csv,2015
A10006,Menu Salat,35.5,35.5,23,NA,1.54,0,0,35.5,100,1.49,08.09.csv,2015
A10012,Kitchen 2,483,483,45,NA,10.73,0,0,483,100,20.32,08.09.csv,2015
A10020,Local 0,251,251,32,NA,7.84,0,0,251,100,10.56,08.09.csv,2015
A10040,Garden,78.5,78.5,12,3.426,22.91,0,0,78.5,100,3.3,08.09.csv,2015
A10072,Schichtjoghurt,3,3,1,NA,3,0,0,3,100,0.13,08.09.csv,2015
A10073,Saisonfrüchte geschnitten,3.5,3.5,1,NA,3.5,0,0,3.5,100,0.15,08.09.csv,2015
A10100,Gipfel,1.3,1.3,1,NA,1.3,0,0,1.3,100,0.05,08.09.csv,2015
A10121,Mandelschnecke ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.1,08.09.csv,2015
A10130,Vanillekreuz,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.1,08.09.csv,2015
A10131,Vanille/Apfelstange,4.8,4.8,2,NA,2.4,0,0,4.8,100,0.2,08.09.csv,2015
A10144,Trockengebäck 100g verpackt,2.2,2.2,1,NA,2.2,0,0,2.2,100,0.09,08.09.csv,2015
A10148,Fruchttörtli,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.1,08.09.csv,2015
A10200,Birchermüesli Classic,16,16,5,NA,3.2,0,0,16,100,0.67,08.09.csv,2015
A10410,Sandwich Milano,12,12,3,NA,4,0,0,12,100,0.5,08.09.csv,2015
A10413,Sandwich Start Your Day,49.5,49.5,11,NA,4.5,0,0,49.5,100,2.08,08.09.csv,2015
A10414,Sandwich Ham & Cheese,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.23,08.09.csv,2015
A10415,Sandwich Turkey,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.23,08.09.csv,2015
A10416,Sandwich Ticinese,6,6,1,NA,6,0,0,6,100,0.25,08.09.csv,2015
L19200,Sandwich offen,13.5,13.5,3,NA,4.5,0,0,13.5,100,0.57,08.09.csv,2015
Total Gruppe,NA,2377.3,2377.3,329,3.426,7.23,0,0,2377.3,NA,100,08.09.csv,2015
A10000,Küche,29.7,29.7,4,NA,7.43,0,0,29.7,100,1.22,09.09.csv,2015
A10001,Favorite,1377,1377,180,NA,7.65,0,0,1377,100,56.45,09.09.csv,2015
A10002,Green,362,362,45,NA,8.04,0,0,362,100,14.84,09.09.csv,2015
A10005,Menu Suppe,1.5,1.5,1,NA,1.5,0,0,1.5,100,0.06,09.09.csv,2015
A10006,Menu Salat,68.5,68.5,45,NA,1.52,0,0,68.5,100,2.81,09.09.csv,2015
A10014,Kitchen 4,174,174,14,NA,12.43,0,0,174,100,7.13,09.09.csv,2015
A10020,Local 0,144,144,19,NA,7.58,0,0,144,100,5.9,09.09.csv,2015
A10040,Garden,159.5,159.5,20,6.94,22.98,0,0,159.5,100,6.54,09.09.csv,2015
A10063,Frucht 1.00,1,1,1,NA,1,0,0,1,100,0.04,09.09.csv,2015
A10071,Quark,1.7,1.7,1,NA,1.7,0,0,1.7,100,0.07,09.09.csv,2015
A10073,Saisonfrüchte geschnitten,7,7,2,NA,3.5,0,0,7,100,0.29,09.09.csv,2015
