Artikel,name,Bruttobetrag,Nettobetrag,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,Ref %,Tot %Umsatz,source,year
A10410,Sandwich Milano,12.5,12.5,3,NA,4.17,0,0,12.5,100,0.53,05.12.csv,2016
A10411,Sandwich Power Ham,4,4,1,NA,4,0,0,4,100,0.17,05.12.csv,2016
A10413,Sandwich Start Your Day,4.5,4.5,1,NA,4.5,0,0,4.5,100,0.19,05.12.csv,2016
A10450,Sandwich Laugenkaiser,4,4,1,NA,4,0,0,4,100,0.17,05.12.csv,2016
A10451,Sandwich Bauette,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.23,05.12.csv,2016
A10452,Crispy Chicken,6,6,1,NA,6,0,0,6,100,0.25,05.12.csv,2016
Total Gruppe,NA,2355.3,2355.3,307,12.066,7.67,0,0,2355.3,NA,100,05.12.csv,2016
A10000,Küche,51.3,51.3,7,NA,7.33,0,0,51.3,100,2.39,06.12.csv,2016
A10001,Favorite,877,877,112,NA,7.83,0,0,877,100,40.85,06.12.csv,2016
A10002,Green,666,666,88,NA,7.57,0,0,666,100,31.02,06.12.csv,2016
A10005,Menu Suppe,9,9,6,NA,1.5,0,0,9,100,0.42,06.12.csv,2016
A10006,Menu Salat,25.5,25.5,17,NA,1.5,0,0,25.5,100,1.19,06.12.csv,2016
A10007,Senf Mayo Ketschup,1,1,2,NA,0.5,0,0,1,100,0.05,06.12.csv,2016
A10013,Kitchen 3,210,210,18,NA,11.67,0,0,210,100,9.78,06.12.csv,2016
A10040,Garden,254.3,254.3,31,11.056,23,0,0,254.3,100,11.84,06.12.csv,2016
A10063,Frucht 1.00,4,4,4,NA,1,0,0,4,100,0.19,06.12.csv,2016
A10073,Saisonfrüchte geschnitten,3.5,3.5,1,NA,3.5,0,0,3.5,100,0.16,06.12.csv,2016
A10101,Ragusa-Gipfel ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.11,06.12.csv,2016
A10112,Maisbrötli,3.8,3.8,2,NA,1.9,0,0,3.8,100,0.18,06.12.csv,2016
A10114,Fitnessbrötli ,2.2,2.2,1,NA,2.2,0,0,2.2,100,0.1,06.12.csv,2016
A10119,Studentenschnitte ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.11,06.12.csv,2016
A10135,Wähe,4.5,4.5,1,NA,4.5,0,0,4.5,100,0.21,06.12.csv,2016
A10200,Birchermüesli Classic,3.2,3.2,1,NA,3.2,0,0,3.2,100,0.15,06.12.csv,2016
A10409,Sandwich Appenzell,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.26,06.12.csv,2016
A10410,Sandwich Milano,4.5,4.5,1,NA,4.5,0,0,4.5,100,0.21,06.12.csv,2016
A10413,Sandwich Start Your Day,9,9,2,NA,4.5,0,0,9,100,0.42,06.12.csv,2016
A10450,Sandwich Laugenkaiser,8,8,2,NA,4,0,0,8,100,0.37,06.12.csv,2016
Total Gruppe,NA,2147.1,2147.1,299,11.056,7.18,0,0,2147.1,NA,100,06.12.csv,2016
