Artikel,name,Bruttobetrag,Nettobetrag,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,Ref %,Tot %Umsatz,source,year
A10108,Laugenbrezel mit Butter,4.4,4.4,2,NA,2.2,0,0,4.4,100,0.29,20.10.csv,2016
A10127,Aprikosenplunder,2.9,2.9,1,NA,2.9,0,0,2.9,100,0.19,20.10.csv,2016
A10128,Aprikosenjalousie,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.16,20.10.csv,2016
A10135,Wähe,9,9,2,NA,4.5,0,0,9,100,0.59,20.10.csv,2016
A10200,Birchermüesli Classic,6.4,6.4,2,NA,3.2,0,0,6.4,100,0.42,20.10.csv,2016
A10411,Sandwich Power Ham,4,4,1,NA,4,0,0,4,100,0.26,20.10.csv,2016
A10413,Sandwich Start Your Day,9,9,2,NA,4.5,0,0,9,100,0.59,20.10.csv,2016
A10415,Sandwich Turkey,11,11,2,NA,5.5,0,0,11,100,0.72,20.10.csv,2016
A10417,Sandwich Softie,4,4,1,NA,4,0,0,4,100,0.26,20.10.csv,2016
A10450,Sandwich Laugenkaiser,4,4,1,NA,4,0,0,4,100,0.26,20.10.csv,2016
Total Gruppe,NA,1529.1,1529.1,193,8.062,7.92,0,0,1529.1,NA,100,20.10.csv,2016
A10000,Küche,236.2,236.2,28,NA,8.44,0,0,236.2,100,14.36,21.10.csv,2016
A10001,Favorite,585,585,76,NA,7.7,0,0,585,100,35.56,21.10.csv,2016
A10002,Green,408,408,54,NA,7.56,0,0,408,100,24.8,21.10.csv,2016
A10005,Menu Suppe,4.5,4.5,3,NA,1.5,0,0,4.5,100,0.27,21.10.csv,2016
A10006,Menu Salat,11.5,11.5,7,NA,1.64,0,0,11.5,100,0.7,21.10.csv,2016
A10007,Senf Mayo Ketschup,0.5,0.5,1,NA,0.5,0,0,0.5,100,0.03,21.10.csv,2016
A10014,Kitchen 4,151,151,12,NA,12.58,0,0,151,100,9.18,21.10.csv,2016
A10040,Garden,215.6,215.6,26,9.374,23,0,0,215.6,100,13.1,21.10.csv,2016
A10063,Frucht 1.00,4,4,4,NA,1,0,0,4,100,0.24,21.10.csv,2016
A10121,Mandelschnecke ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.15,21.10.csv,2016
A10128,Aprikosenjalousie,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.15,21.10.csv,2016
