Artikel,name,Bruttobetrag,Nettobetrag,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,Ref %,Tot %Umsatz,source,year
A10001,Favorite,1009,1009,125,NA,8.07,0,0,1009,100,60.79,01.09.csv,2016
A10002,Green,280,280,34,NA,8.24,0,0,280,100,16.87,01.09.csv,2016
A10006,Menu Salat,8,8,4,NA,2,0,0,8,100,0.48,01.09.csv,2016
A10008,Gemüseportion,1.5,1.5,1,NA,1.5,0,0,1.5,100,0.09,01.09.csv,2016
A10040,Garden,308.2,308.2,36,13.304,23.17,0,0,308.2,100,18.57,01.09.csv,2016
A10063,Frucht 1.00,1,1,1,NA,1,0,0,1,100,0.06,01.09.csv,2016
A10114,Fitnessbrötli,1.7,1.7,1,NA,1.7,0,0,1.7,100,0.1,01.09.csv,2016
A10144,Trockengebäck 100g verpackt,2.2,2.2,1,NA,2.2,0,0,2.2,100,0.13,01.09.csv,2016
A10200,Birchermüesli Classic,3.2,3.2,1,NA,3.2,0,0,3.2,100,0.19,01.09.csv,2016
A10409,Sandwich Appenzell,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.33,01.09.csv,2016
A10410,Sandwich Milano,12.5,12.5,3,NA,4.17,0,0,12.5,100,0.75,01.09.csv,2016
A10435,FB Sandwich Emmental,22,22,4,NA,5.5,0,0,22,100,1.33,01.09.csv,2016
A10451,Sandwich Bauette,5,5,1,NA,5,0,0,5,100,0.3,01.09.csv,2016
Total Gruppe,NA,1659.8,1659.8,213,13.304,7.79,0,0,1659.8,NA,100,01.09.csv,2016
A10001,Favorite,656,656,78,NA,8.41,0,0,656,100,59.45,02.09.csv,2016
A10002,Green,202,202,25,NA,8.08,0,0,202,100,18.31,02.09.csv,2016
A10007,Senf Mayo Ketschup,0.5,0.5,1,NA,0.5,0,0,0.5,100,0.05,02.09.csv,2016
A10040,Garden,232.3,232.3,29,10.064,23.08,0,0,232.3,100,21.05,02.09.csv,2016
A10200,Birchermüesli Classic,3.2,3.2,1,NA,3.2,0,0,3.2,100,0.29,02.09.csv,2016
A10410,Sandwich Milano,4,4,1,NA,4,0,0,4,100,0.36,02.09.csv,2016
A10435,FB Sandwich Emmental,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.5,02.09.csv,2016
Total Gruppe,NA,1103.5,1103.5,136,10.064,8.11,0,0,1103.5,NA,100,02.09.csv,2016
A10000,Küche,4,4,1,NA,4,0,0,4,100,0.34,05.09.csv,2016
A10001,Favorite,680,680,84,NA,8.1,0,0,680,100,58.58,05.09.csv,2016
A10002,Green,250,250,31,NA,8.06,0,0,250,100,21.54,05.09.csv,2016
A10004,Brot Stück,0.9,0.9,3,NA,0.3,0,0,0.9,100,0.08,05.09.csv,2016
A10006,Menu Salat,25.5,25.5,15,NA,1.7,0,0,25.5,100,2.2,05.09.csv,2016
A10007,Senf Mayo Ketschup,1.5,1.5,3,NA,0.5,0,0,1.5,100,0.13,05.09.csv,2016
A10008,Gemüseportion,1.5,1.5,1,NA,1.5,0,0,1.5,100,0.13,05.09.csv,2016
A10040,Garden,180,180,20,7.79,23.11,0,0,180,100,15.51,05.09.csv,2016
A10063,Frucht 1.00,1,1,1,NA,1,0,0,1,100,0.09,05.09.csv,2016
A10101,Ragusa-Gipfel,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.21,05.09.csv,2016
A10410,Sandwich Milano,4,4,1,NA,4,0,0,4,100,0.34,05.09.csv,2016
A10451,Sandwich Bauette,10,10,2,NA,5,0,0,10,100,0.86,05.09.csv,2016
Total Gruppe,NA,1160.8,1160.8,163,7.79,7.12,0,0,1160.8,NA,100,05.09.csv,2016
A10000,Küche,13.3,13.3,1,NA,13.3,0,0,13.3,100,0.94,06.09.csv,2016
A10001,Favorite,584,584,71,NA,8.23,0,0,584,100,41.47,06.09.csv,2016
A10002,Green,574,574,70,NA,8.2,0,0,574,100,40.76,06.09.csv,2016
A10004,Brot Stück,0.3,0.3,1,NA,0.3,0,0,0.3,100,0.02,06.09.csv,2016
A10006,Menu Salat,13.5,13.5,9,NA,1.5,0,0,13.5,100,0.96,06.09.csv,2016
A10007,Senf Mayo Ketschup,0.5,0.5,1,NA,0.5,0,0,0.5,100,0.04,06.09.csv,2016
A10040,Garden,194.2,194.2,23,8.414,23.08,0,0,194.2,100,13.79,06.09.csv,2016
A10063,Frucht 1.00,1,1,1,NA,1,0,0,1,100,0.07,06.09.csv,2016
A10101,Ragusa-Gipfel,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.17,06.09.csv,2016
A10103,Vanille-Gipfel,2.9,2.9,1,NA,2.9,0,0,2.9,100,0.21,06.09.csv,2016
A10120,Mandelbrezel,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.17,06.09.csv,2016
A10122,Nussbrille,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.17,06.09.csv,2016
A10130,Vanillekreuz,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.17,06.09.csv,2016
A10451,Sandwich Bauette,15,15,3,NA,5,0,0,15,100,1.07,06.09.csv,2016
Total Gruppe,NA,1408.3,1408.3,185,8.414,7.61,0,0,1408.3,NA,100,06.09.csv,2016
A10000,Küche,41.9,41.9,7,NA,5.99,0,0,41.9,100,1.72,07.09.csv,2016
A10001,Favorite,1115,1115,109,NA,10.23,0,0,1115,100,45.87,07.09.csv,2016
A10002,Green,383,383,43,NA,8.91,0,0,383,100,15.76,07.09.csv,2016
A10004,Brot Stück,0.3,0.3,1,NA,0.3,0,0,0.3,100,0.01,07.09.csv,2016
A10006,Menu Salat,4.5,4.5,3,NA,1.5,0,0,4.5,100,0.19,07.09.csv,2016
A10014,Kitchen 4,162,162,12,NA,13.5,0,0,162,100,6.66,07.09.csv,2016
A10040,Garden,361.4,361.4,40,15.498,23.32,0,0,361.4,100,14.87,07.09.csv,2016
A10063,Frucht 1.00,1,1,1,NA,1,0,0,1,100,0.04,07.09.csv,2016
A10120,Mandelbrezel,92.8,92.8,32,NA,2.9,0,0,92.8,100,3.82,07.09.csv,2016
A10410,Sandwich Milano,4,4,1,NA,4,0,0,4,100,0.16,07.09.csv,2016
A10451,Sandwich Bauette,10,10,2,NA,5,0,0,10,100,0.41,07.09.csv,2016
L12100,Kafi Pause,255,255,34,NA,7.5,0,0,255,100,10.49,07.09.csv,2016
Total Gruppe,NA,2430.9,2430.9,285,15.498,8.53,0,0,2430.9,NA,100,07.09.csv,2016
A10000,Küche,28.5,28.5,6,NA,4.75,0,0,28.5,100,2.38,08.09.csv,2016
A10001,Favorite,454,454,55,NA,8.25,0,0,454,100,37.89,08.09.csv,2016
A10002,Green,343,343,42,NA,8.17,0,0,343,100,28.63,08.09.csv,2016
A10006,Menu Salat,5.5,5.5,3,NA,1.83,0,0,5.5,100,0.46,08.09.csv,2016
A10014,Kitchen 4,130,130,10,NA,13,0,0,130,100,10.85,08.09.csv,2016
A10040,Garden,199.9,199.9,25,8.632,23.16,0,0,199.9,100,16.68,08.09.csv,2016
A10200,Birchermüesli Classic,12.8,12.8,4,NA,3.2,0,0,12.8,100,1.07,08.09.csv,2016
A10411,Sandwich Power Ham,8,8,2,NA,4,0,0,8,100,0.67,08.09.csv,2016
A10435,FB Sandwich Emmental,16.5,16.5,3,NA,5.5,0,0,16.5,100,1.38,08.09.csv,2016
Total Gruppe,NA,1198.2,1198.2,150,8.632,7.99,0,0,1198.2,NA,100,08.09.csv,2016
A10000,Küche,14.5,14.5,3,NA,4.83,0,0,14.5,100,1.38,09.09.csv,2016
A10001,Favorite,452,452,55,NA,8.22,0,0,452,100,43.15,09.09.csv,2016
A10002,Green,204,204,25,NA,8.16,0,0,204,100,19.48,09.09.csv,2016
A10006,Menu Salat,6,6,4,NA,1.5,0,0,6,100,0.57,09.09.csv,2016
A10014,Kitchen 4,181,181,14,NA,12.93,0,0,181,100,17.28,09.09.csv,2016
A10040,Garden,162.6,162.6,20,7.024,23.15,0,0,162.6,100,15.52,09.09.csv,2016
A10063,Frucht 1.00,1,1,1,NA,1,0,0,1,100,0.1,09.09.csv,2016
A10100,Gipfel,1.3,1.3,1,NA,1.3,0,0,1.3,100,0.12,09.09.csv,2016
A10101,Ragusa-Gipfel,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.23,09.09.csv,2016
A10200,Birchermüesli Classic,9.6,9.6,3,NA,3.2,0,0,9.6,100,0.92,09.09.csv,2016
A10410,Sandwich Milano,4,4,1,NA,4,0,0,4,100,0.38,09.09.csv,2016
A10411,Sandwich Power Ham,4,4,1,NA,4,0,0,4,100,0.38,09.09.csv,2016
A10451,Sandwich Bauette,5,5,1,NA,5,0,0,5,100,0.48,09.09.csv,2016
Total Gruppe,NA,1047.4,1047.4,130,7.024,8.06,0,0,1047.4,NA,100,09.09.csv,2016
A10000,Küche,3097,3097,315,NA,9.83,0,0,3097,100,50.13,12.09.csv,2016
A10001,Favorite,886,886,114,NA,7.77,0,0,886,100,14.34,12.09.csv,2016
A10002,Green,754,754,102,NA,7.39,0,0,754,100,12.21,12.09.csv,2016
A10006,Menu Salat,7.5,7.5,5,NA,1.5,0,0,7.5,100,0.12,12.09.csv,2016
A10014,Kitchen 4,164,164,13,NA,12.62,0,0,164,100,2.65,12.09.csv,2016
A10040,Garden,458.6,458.6,57,19.732,23.24,0,0,458.6,100,7.42,12.09.csv,2016
A10063,Frucht 1.00,8,8,8,NA,1,0,0,8,100,0.13,12.09.csv,2016
A10072,Schichtjoghurt,3.5,3.5,1,NA,3.5,0,0,3.5,100,0.06,12.09.csv,2016
A10073,Saisonfrüchte geschnitten,3.5,3.5,1,NA,3.5,0,0,3.5,100,0.06,12.09.csv,2016
A10130,Vanillekreuz,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.04,12.09.csv,2016
A10200,Birchermüesli Classic,6.9,6.9,2,NA,3.45,0,0,6.9,100,0.11,12.09.csv,2016
A10409,Sandwich Appenzell,11.5,11.5,2,NA,5.75,0,0,11.5,100,0.19,12.09.csv,2016
A10410,Sandwich Milano,4,4,1,NA,4,0,0,4,100,0.06,12.09.csv,2016
A10430,Bagel Sandwich Fisherman's Catch,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.09,12.09.csv,2016
L12100,Kafi Pause,345,345,46,NA,7.5,0,0,345,100,5.58,12.09.csv,2016
L12101,Znüni-Komplett,420,420,35,NA,12,0,0,420,100,6.8,12.09.csv,2016
Total Gruppe,NA,6177.4,6177.4,704,19.732,8.77,0,0,6177.4,NA,100,12.09.csv,2016
A10000,Küche,20.3,20.3,2,NA,10.15,0,0,20.3,100,0.88,13.09.csv,2016
A10001,Favorite,993,993,130,NA,7.64,0,0,993,100,42.84,13.09.csv,2016
A10002,Green,540,540,72,NA,7.5,0,0,540,100,23.3,13.09.csv,2016
A10006,Menu Salat,16.5,16.5,11,NA,1.5,0,0,16.5,100,0.71,13.09.csv,2016
A10014,Kitchen 4,191,191,15,NA,12.73,0,0,191,100,8.24,13.09.csv,2016
A10040,Garden,461.8,461.8,54,19.762,23.37,0,0,461.8,100,19.92,13.09.csv,2016
A10063,Frucht 1.00,5,5,5,NA,1,0,0,5,100,0.22,13.09.csv,2016
A10072,Schichtjoghurt,3,3,1,NA,3,0,0,3,100,0.13,13.09.csv,2016
A10073,Saisonfrüchte geschnitten,3.5,3.5,1,NA,3.5,0,0,3.5,100,0.15,13.09.csv,2016
A10101,Ragusa-Gipfel,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.1,13.09.csv,2016
A10114,Fitnessbrötli,1.7,1.7,1,NA,1.7,0,0,1.7,100,0.07,13.09.csv,2016
A10127,Aprikosenplunder,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.1,13.09.csv,2016
A10135,Wähe,15.6,15.6,4,NA,3.9,0,0,15.6,100,0.67,13.09.csv,2016
A10148,Fruchttörtli,4.8,4.8,2,NA,2.4,0,0,4.8,100,0.21,13.09.csv,2016
A10200,Birchermüesli Classic,16.5,16.5,5,NA,3.3,0,0,16.5,100,0.71,13.09.csv,2016
A10409,Sandwich Appenzell,11,11,2,NA,5.5,0,0,11,100,0.47,13.09.csv,2016
A10410,Sandwich Milano,4,4,1,NA,4,0,0,4,100,0.17,13.09.csv,2016
A10411,Sandwich Power Ham,4,4,1,NA,4,0,0,4,100,0.17,13.09.csv,2016
A10413,Sandwich Start Your Day,4.5,4.5,1,NA,4.5,0,0,4.5,100,0.19,13.09.csv,2016
A10415,Sandwich Turkey,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.24,13.09.csv,2016
A10416,Sandwich Ticinese,6,6,1,NA,6,0,0,6,100,0.26,13.09.csv,2016
A10435,FB Sandwich Emmental,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.24,13.09.csv,2016
Total Gruppe,NA,2318,2318,313,19.762,7.41,0,0,2318,NA,100,13.09.csv,2016
A10000,Küche,15.3,15.3,3,NA,5.1,0,0,15.3,100,0.61,14.09.csv,2016
A10001,Favorite,1086,1086,142,NA,7.65,0,0,1086,100,43.15,14.09.csv,2016
A10002,Green,437,437,58,NA,7.53,0,0,437,100,17.36,14.09.csv,2016
A10006,Menu Salat,18,18,12,NA,1.5,0,0,18,100,0.72,14.09.csv,2016
A10013,Kitchen 3,12,12,1,NA,12,0,0,12,100,0.48,14.09.csv,2016
A10014,Kitchen 4,318,318,21,NA,15.14,0,0,318,100,12.63,14.09.csv,2016
A10040,Garden,534.1,534.1,66,22.94,23.28,0,0,534.1,100,21.22,14.09.csv,2016
A10063,Frucht 1.00,4,4,4,NA,1,0,0,4,100,0.16,14.09.csv,2016
A10072,Schichtjoghurt,6,6,2,NA,3,0,0,6,100,0.24,14.09.csv,2016
A10073,Saisonfrüchte geschnitten,10.5,10.5,3,NA,3.5,0,0,10.5,100,0.42,14.09.csv,2016
A10103,Vanille-Gipfel,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.1,14.09.csv,2016
A10135,Wähe,12.2,12.2,3,NA,4.07,0,0,12.2,100,0.48,14.09.csv,2016
A10139,Zitronencake-Schnitte 100g verpackt,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.1,14.09.csv,2016
A10148,Fruchttörtli,7.2,7.2,3,NA,2.4,0,0,7.2,100,0.29,14.09.csv,2016
A10200,Birchermüesli Classic,6.4,6.4,2,NA,3.2,0,0,6.4,100,0.25,14.09.csv,2016
A10410,Sandwich Milano,4,4,1,NA,4,0,0,4,100,0.16,14.09.csv,2016
A10411,Sandwich Power Ham,8,8,2,NA,4,0,0,8,100,0.32,14.09.csv,2016
A10415,Sandwich Turkey,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.22,14.09.csv,2016
A10416,Sandwich Ticinese,12.5,12.5,2,NA,6.25,0,0,12.5,100,0.5,14.09.csv,2016
A10435,FB Sandwich Emmental,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.22,14.09.csv,2016
A10451,Sandwich Bauette,10,10,2,NA,5,0,0,10,100,0.4,14.09.csv,2016
Total Gruppe,NA,2517,2517,331,22.94,7.6,0,0,2517,NA,100,14.09.csv,2016
A10000,Küche,39.5,39.5,23,NA,1.72,0,0,39.5,100,1.54,15.09.csv,2016
A10001,Favorite,1261,1261,156,NA,8.08,0,0,1261,100,49.13,15.09.csv,2016
A10002,Green,520,520,62,NA,8.39,0,0,520,100,20.26,15.09.csv,2016
A10004,Brot Stück,1.2,1.2,4,NA,0.3,0,0,1.2,100,0.05,15.09.csv,2016
A10006,Menu Salat,19,19,12,NA,1.58,0,0,19,100,0.74,15.09.csv,2016
A10014,Kitchen 4,171,171,11,NA,15.55,0,0,171,100,6.66,15.09.csv,2016
A10040,Garden,318.9,318.9,41,13.814,23.09,0,0,318.9,100,12.43,15.09.csv,2016
A10060,Frucht -.70,0.7,0.7,1,NA,0.7,0,0,0.7,100,0.03,15.09.csv,2016
A10063,Frucht 1.00,9,9,9,NA,1,0,0,9,100,0.35,15.09.csv,2016
A10073,Saisonfrüchte geschnitten,3.5,3.5,1,NA,3.5,0,0,3.5,100,0.14,15.09.csv,2016
A10100,Gipfel,90,90,60,NA,1.5,0,0,90,100,3.51,15.09.csv,2016
A10108,Laugenbrezel mit Butter,4.4,4.4,2,NA,2.2,0,0,4.4,100,0.17,15.09.csv,2016
A10120,Mandelbrezel,58,58,20,NA,2.9,0,0,58,100,2.26,15.09.csv,2016
A10128,Aprikosenjalousie,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.09,15.09.csv,2016
A10135,Wähe,3.9,3.9,1,NA,3.9,0,0,3.9,100,0.15,15.09.csv,2016
A10200,Birchermüesli Classic,6.9,6.9,2,NA,3.45,0,0,6.9,100,0.27,15.09.csv,2016
A10409,Sandwich Appenzell,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.21,15.09.csv,2016
A10415,Sandwich Turkey,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.21,15.09.csv,2016
A10416,Sandwich Ticinese,6,6,1,NA,6,0,0,6,100,0.23,15.09.csv,2016
A10417,Sandwich Softie,4,4,1,NA,4,0,0,4,100,0.16,15.09.csv,2016
A10451,Sandwich Bauette,5,5,1,NA,5,0,0,5,100,0.19,15.09.csv,2016
L12160,Zweifel Chips Nature,18,18,2,NA,9,0,0,18,100,0.7,15.09.csv,2016
L12162,Erdnüsse,7,7,1,NA,7,0,0,7,100,0.27,15.09.csv,2016
L12163,Blätterteigstangen,6,6,1,NA,6,0,0,6,100,0.23,15.09.csv,2016
Total Gruppe,NA,2566.4,2566.4,415,13.814,6.18,0,0,2566.4,NA,100,15.09.csv,2016
A10000,Küche,7,7,2,NA,3.5,0,0,7,100,0.54,16.09.csv,2016
A10001,Favorite,670,670,82,NA,8.17,0,0,670,100,51.39,16.09.csv,2016
