Artikel,name,Bruttobetrag,Nettobetrag,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,Ref %,Tot %Umsatz,source,year
A10144,Trockengebäck 100g verpackt,4.4,4.4,2,NA,2.2,0,0,4.4,100,0.26,16.09.csv,2015
A10150,Spinatstrudel,2.5,2.5,1,NA,2.5,0,0,2.5,100,0.15,16.09.csv,2015
A10200,Birchermüesli Classic,16,16,5,NA,3.2,0,0,16,100,0.95,16.09.csv,2015
A10405,Sandwich,4.5,4.5,1,NA,4.5,0,0,4.5,100,0.27,16.09.csv,2015
Total Gruppe,NA,1691.6,1691.6,279,2.98,6.06,0,0,1691.6,NA,100,16.09.csv,2015
A10000,Küche,24.9,24.9,17,NA,1.46,0,0,24.9,100,1.2,17.09.csv,2015
A10001,Favorite,718,718,97,NA,7.4,0,0,718,100,34.66,17.09.csv,2015
A10002,Green,238,238,32,NA,7.44,0,0,238,100,11.49,17.09.csv,2015
A100039,Portion Pommes,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.27,17.09.csv,2015
A10006,Menu Salat,36,36,24,NA,1.5,0,0,36,100,1.74,17.09.csv,2015
A10007,Senf Mayo Ketschup,1,1,2,NA,0.5,0,0,1,100,0.05,17.09.csv,2015
A10014,Kitchen 4,538,538,43,NA,12.51,0,0,538,100,25.97,17.09.csv,2015
A10020,Local 0,358,358,50,NA,7.16,0,0,358,100,17.28,17.09.csv,2015
A10040,Garden,46.2,46.2,8,2.006,23.03,0,0,46.2,100,2.23,17.09.csv,2015
A10103,Vanille-Gipfel,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.12,17.09.csv,2015
A10104,Schoggi-Gipfel ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.12,17.09.csv,2015
A10105,Schinkengipfel ,7.5,7.5,3,NA,2.5,0,0,7.5,100,0.36,17.09.csv,2015
A10108,Laugenbrezel mit Butter,2.2,2.2,1,NA,2.2,0,0,2.2,100,0.11,17.09.csv,2015
A10114,Fitnessbrötli ,1.9,1.9,1,NA,1.9,0,0,1.9,100,0.09,17.09.csv,2015
A10120,Mandelbrezel ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.12,17.09.csv,2015
A10121,Mandelschnecke ,4.8,4.8,2,NA,2.4,0,0,4.8,100,0.23,17.09.csv,2015
A10122,Nussbrille,2.5,2.5,1,NA,2.5,0,0,2.5,100,0.12,17.09.csv,2015
A10135,Wähe,7.8,7.8,2,NA,3.9,0,0,7.8,100,0.38,17.09.csv,2015
A10144,Trockengebäck 100g verpackt,6.6,6.6,3,NA,2.2,0,0,6.6,100,0.32,17.09.csv,2015
A10150,Spinatstrudel,2.5,2.5,1,NA,2.5,0,0,2.5,100,0.12,17.09.csv,2015
A10200,Birchermüesli Classic,12.8,12.8,4,NA,3.2,0,0,12.8,100,0.62,17.09.csv,2015
A10400,Sandwich klein,8.5,8.5,2,NA,4.25,0,0,8.5,100,0.41,17.09.csv,2015
A10401,Sandwich Mittel,15,15,3,NA,5,0,0,15,100,0.72,17.09.csv,2015
A10403,Bagel 1,16.5,16.5,3,NA,5.5,0,0,16.5,100,0.8,17.09.csv,2015
A10405,Sandwich,4.5,4.5,1,NA,4.5,0,0,4.5,100,0.22,17.09.csv,2015
A10414,Sandwich Ham & Cheese,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.27,17.09.csv,2015
Total Gruppe,NA,2071.4,2071.4,305,2.006,6.79,0,0,2071.4,NA,100,17.09.csv,2015
A10000,Küche,44.2,44.2,26,NA,1.7,0,0,44.2,100,2.87,18.09.csv,2015
A10001,Favorite,656,656,90,NA,7.29,0,0,656,100,42.63,18.09.csv,2015
A10002,Green,311,311,42,NA,7.4,0,0,311,100,20.21,18.09.csv,2015
A10006,Menu Salat,30,30,20,NA,1.5,0,0,30,100,1.95,18.09.csv,2015
A10011,Kitchen 1,48,48,5,NA,9.6,0,0,48,100,3.12,18.09.csv,2015
A10020,Local 0,378,378,52,NA,7.27,0,0,378,100,24.56,18.09.csv,2015
A10040,Garden,11.1,11.1,3,0.478,23.22,0,0,11.1,100,0.72,18.09.csv,2015
A10072,Schichtjoghurt,6,6,2,NA,3,0,0,6,100,0.39,18.09.csv,2015
A10073,Saisonfrüchte geschnitten,3.5,3.5,1,NA,3.5,0,0,3.5,100,0.23,18.09.csv,2015
A10102,Mandelgipfel ,4.8,4.8,2,NA,2.4,0,0,4.8,100,0.31,18.09.csv,2015
A10108,Laugenbrezel mit Butter,2.2,2.2,1,NA,2.2,0,0,2.2,100,0.14,18.09.csv,2015
A10118,Brownie ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.16,18.09.csv,2015
A10126,Apfel im Schlafrock,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.16,18.09.csv,2015
A10135,Wähe,3.9,3.9,1,NA,3.9,0,0,3.9,100,0.25,18.09.csv,2015
A10136,Muffin,5,5,2,NA,2.5,0,0,5,100,0.32,18.09.csv,2015
A10200,Birchermüesli Classic,6.4,6.4,2,NA,3.2,0,0,6.4,100,0.42,18.09.csv,2015
A10400,Sandwich klein,8,8,2,NA,4,0,0,8,100,0.52,18.09.csv,2015
A10401,Sandwich Mittel,10,10,2,NA,5,0,0,10,100,0.65,18.09.csv,2015
A10404,Bagel 2,6,6,1,NA,6,0,0,6,100,0.39,18.09.csv,2015
Total Gruppe,NA,1538.9,1538.9,256,0.478,6.01,0,0,1538.9,NA,100,18.09.csv,2015
A10000,Küche,17.7,17.7,6,NA,2.95,0,0,17.7,100,0.79,21.09.csv,2015
A10001,Favorite,863,863,118,NA,7.31,0,0,863,100,38.49,21.09.csv,2015
A10002,Green,341,341,47,NA,7.26,0,0,341,100,15.21,21.09.csv,2015
A10003,nur Fleisch Favorite,6,6,1,NA,6,0,0,6,100,0.27,21.09.csv,2015
A100039,Portion Pommes,11,11,2,NA,5.5,0,0,11,100,0.49,21.09.csv,2015
A10006,Menu Salat,37.5,37.5,25,NA,1.5,0,0,37.5,100,1.67,21.09.csv,2015
A10013,Kitchen 3,379,379,33,NA,11.48,0,0,379,100,16.9,21.09.csv,2015
A10020,Local 0,430,430,59,NA,7.29,0,0,430,100,19.18,21.09.csv,2015
A10040,Garden,76.2,76.2,12,3.248,23.46,0,0,76.2,100,3.4,21.09.csv,2015
A10063,Frucht 1.00,2,2,2,NA,1,0,0,2,100,0.09,21.09.csv,2015
A10072,Schichtjoghurt,3,3,1,NA,3,0,0,3,100,0.13,21.09.csv,2015
A10100,Gipfel,1.3,1.3,1,NA,1.3,0,0,1.3,100,0.06,21.09.csv,2015
A10102,Mandelgipfel ,5.3,5.3,2,NA,2.65,0,0,5.3,100,0.24,21.09.csv,2015
A10104,Schoggi-Gipfel ,7.2,7.2,3,NA,2.4,0,0,7.2,100,0.32,21.09.csv,2015
A10105,Schinkengipfel ,2.5,2.5,1,NA,2.5,0,0,2.5,100,0.11,21.09.csv,2015
A10114,Fitnessbrötli ,1.9,1.9,1,NA,1.9,0,0,1.9,100,0.08,21.09.csv,2015
A10122,Nussbrille,2.5,2.5,1,NA,2.5,0,0,2.5,100,0.11,21.09.csv,2015
A10126,Apfel im Schlafrock,4.8,4.8,2,NA,2.4,0,0,4.8,100,0.21,21.09.csv,2015
A10135,Wähe,3.9,3.9,1,NA,3.9,0,0,3.9,100,0.17,21.09.csv,2015
A10136,Muffin,5,5,2,NA,2.5,0,0,5,100,0.22,21.09.csv,2015
A10150,Spinatstrudel,2.5,2.5,1,NA,2.5,0,0,2.5,100,0.11,21.09.csv,2015
A10153,Calzone,7,7,2,NA,3.5,0,0,7,100,0.31,21.09.csv,2015
A10200,Birchermüesli Classic,12.8,12.8,4,NA,3.2,0,0,12.8,100,0.57,21.09.csv,2015
A10401,Sandwich Mittel,10,10,2,NA,5,0,0,10,100,0.45,21.09.csv,2015
A10405,Sandwich,9,9,2,NA,4.5,0,0,9,100,0.4,21.09.csv,2015
Total Gruppe,NA,2242.1,2242.1,331,3.248,6.77,0,0,2242.1,NA,100,21.09.csv,2015
A10000,Küche,16.5,16.5,11,NA,1.5,0,0,16.5,100,0.88,22.09.csv,2015
A10001,Favorite,989,989,134,NA,7.38,0,0,989,100,52.72,22.09.csv,2015
A10002,Green,238,238,32,NA,7.44,0,0,238,100,12.69,22.09.csv,2015
A10006,Menu Salat,59.5,59.5,39,NA,1.53,0,0,59.5,100,3.17,22.09.csv,2015
A10007,Senf Mayo Ketschup,0.5,0.5,1,NA,0.5,0,0,0.5,100,0.03,22.09.csv,2015
A10014,Kitchen 4,241,241,19,NA,12.68,0,0,241,100,12.85,22.09.csv,2015
A10020,Local 0,179,179,24,NA,7.46,0,0,179,100,9.54,22.09.csv,2015
A10040,Garden,77.3,77.3,13,3.362,22.99,0,0,77.3,100,4.12,22.09.csv,2015
A10063,Frucht 1.00,2,2,2,NA,1,0,0,2,100,0.11,22.09.csv,2015
A10064,Frucht 1.20,1.2,1.2,1,NA,1.2,0,0,1.2,100,0.06,22.09.csv,2015
A10073,Saisonfrüchte geschnitten,3.5,3.5,1,NA,3.5,0,0,3.5,100,0.19,22.09.csv,2015
A10101,Ragusa-Gipfel ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.13,22.09.csv,2015
A10102,Mandelgipfel ,4.8,4.8,2,NA,2.4,0,0,4.8,100,0.26,22.09.csv,2015
A10105,Schinkengipfel ,5,5,2,NA,2.5,0,0,5,100,0.27,22.09.csv,2015
A10108,Laugenbrezel mit Butter,4.4,4.4,2,NA,2.2,0,0,4.4,100,0.23,22.09.csv,2015
A10110,Sonnenblumenbrötli,1.7,1.7,1,NA,1.7,0,0,1.7,100,0.09,22.09.csv,2015
A10112,Maisbrötli,1.7,1.7,1,NA,1.7,0,0,1.7,100,0.09,22.09.csv,2015
A10135,Wähe,3.9,3.9,1,NA,3.9,0,0,3.9,100,0.21,22.09.csv,2015
A10136,Muffin,2.5,2.5,1,NA,2.5,0,0,2.5,100,0.13,22.09.csv,2015
A10144,Trockengebäck 100g verpackt,2.2,2.2,1,NA,2.2,0,0,2.2,100,0.12,22.09.csv,2015
A10148,Fruchttörtli,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.13,22.09.csv,2015
A10150,Spinatstrudel,2.5,2.5,1,NA,2.5,0,0,2.5,100,0.13,22.09.csv,2015
A10200,Birchermüesli Classic,6.4,6.4,2,NA,3.2,0,0,6.4,100,0.34,22.09.csv,2015
A10414,Sandwich Ham & Cheese,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.29,22.09.csv,2015
A10415,Sandwich Turkey,16.5,16.5,3,NA,5.5,0,0,16.5,100,0.88,22.09.csv,2015
