Artikel,name,Bruttobetrag,Nettobetrag,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,Ref %,Tot %Umsatz,source,year
Total Gruppe,NA,1499,1499,226,2.104,6.63,0,0,1499,NA,100,03.12.csv,2015
A10001,Favorite,502,502,67,NA,7.49,0,0,502,100,37.02,04.12.csv,2015
A10002,Green,216,216,29,NA,7.45,0,0,216,100,15.93,04.12.csv,2015
A10005,Menu Suppe,3,3,2,NA,1.5,0,0,3,100,0.22,04.12.csv,2015
A10006,Menu Salat,46.5,46.5,31,NA,1.5,0,0,46.5,100,3.43,04.12.csv,2015
A10007,Senf Mayo Ketschup,0.5,0.5,1,NA,0.5,0,0,0.5,100,0.04,04.12.csv,2015
A10014,Kitchen 4,125,125,10,NA,12.5,0,0,125,100,9.22,04.12.csv,2015
A10020,Local 0,424,424,59,NA,7.19,0,0,424,100,31.27,04.12.csv,2015
A10040,Garden,5,5,2,0.218,22.94,0,0,5,100,0.37,04.12.csv,2015
A10072,Schichtjoghurt,3,3,1,NA,3,0,0,3,100,0.22,04.12.csv,2015
A10101,Ragusa-Gipfel ,4.8,4.8,2,NA,2.4,0,0,4.8,100,0.35,04.12.csv,2015
A10102,Mandelgipfel ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.18,04.12.csv,2015
A10200,Birchermüesli Classic,3.2,3.2,1,NA,3.2,0,0,3.2,100,0.24,04.12.csv,2015
A10413,Sandwich Start Your Day,4.5,4.5,1,NA,4.5,0,0,4.5,100,0.33,04.12.csv,2015
A10414,Sandwich Ham & Cheese,11,11,2,NA,5.5,0,0,11,100,0.81,04.12.csv,2015
A10451,Sandwich Bauette,5,5,1,NA,5,0,0,5,100,0.37,04.12.csv,2015
Total Gruppe,NA,1355.9,1355.9,210,0.218,6.46,0,0,1355.9,NA,100,04.12.csv,2015
A10000,Küche,4.7,4.7,2,NA,2.35,0,0,4.7,100,0.22,07.12.csv,2015
A10001,Favorite,918,918,124,NA,7.4,0,0,918,100,43.9,07.12.csv,2015
A10002,Green,549,549,74,NA,7.42,0,0,549,100,26.26,07.12.csv,2015
A100039,Portion Pommes,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.26,07.12.csv,2015
A10004,Brot Stück,0.9,0.9,3,NA,0.3,0,0,0.9,100,0.04,07.12.csv,2015
A10005,Menu Suppe,22.5,22.5,15,NA,1.5,0,0,22.5,100,1.08,07.12.csv,2015
A10006,Menu Salat,18,18,12,NA,1.5,0,0,18,100,0.86,07.12.csv,2015
A10007,Senf Mayo Ketschup,0.5,0.5,1,NA,0.5,0,0,0.5,100,0.02,07.12.csv,2015
A10011,Kitchen 1,134,134,14,NA,9.57,0,0,134,100,6.41,07.12.csv,2015
A10020,Local 0,236,236,33,NA,7.15,0,0,236,100,11.29,07.12.csv,2015
A10040,Garden,96.7,96.7,18,4.148,23.31,0,0,96.7,100,4.62,07.12.csv,2015
A10063,Frucht 1.00,6,6,6,NA,1,0,0,6,100,0.29,07.12.csv,2015
A10072,Schichtjoghurt,3,3,1,NA,3,0,0,3,100,0.14,07.12.csv,2015
A10101,Ragusa-Gipfel ,7.2,7.2,3,NA,2.4,0,0,7.2,100,0.34,07.12.csv,2015
A10102,Mandelgipfel ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.11,07.12.csv,2015
A10105,Schinkengipfel ,5,5,2,NA,2.5,0,0,5,100,0.24,07.12.csv,2015
A10108,Laugenbrezel mit Butter,2.2,2.2,1,NA,2.2,0,0,2.2,100,0.11,07.12.csv,2015
A10121,Mandelschnecke ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.11,07.12.csv,2015
A10126,Apfel im Schlafrock,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.11,07.12.csv,2015
A10130,Vanillekreuz,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.11,07.12.csv,2015
A10131,Vanille/Apfelstange,4.8,4.8,2,NA,2.4,0,0,4.8,100,0.23,07.12.csv,2015
A10135,Wähe,3.9,3.9,1,NA,3.9,0,0,3.9,100,0.19,07.12.csv,2015
A10153,Calzone,3.5,3.5,1,NA,3.5,0,0,3.5,100,0.17,07.12.csv,2015
A10161,Muffin gross,9,9,3,NA,3,0,0,9,100,0.43,07.12.csv,2015
A10200,Birchermüesli Classic,6.4,6.4,2,NA,3.2,0,0,6.4,100,0.31,07.12.csv,2015
A10409,Sandwich Appenzell,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.26,07.12.csv,2015
A10410,Sandwich Milano,8,8,2,NA,4,0,0,8,100,0.38,07.12.csv,2015
A10412,Sandwich Gruyere,4,4,1,NA,4,0,0,4,100,0.19,07.12.csv,2015
A10415,Sandwich Turkey,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.26,07.12.csv,2015
A10416,Sandwich Ticinese,6,6,1,NA,6,0,0,6,100,0.29,07.12.csv,2015
A10430,Bagel Sandwich Fisherman's Catch,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.26,07.12.csv,2015
A10451,Sandwich Bauette,10,10,2,NA,5,0,0,10,100,0.48,07.12.csv,2015
Total Gruppe,NA,2090.9,2090.9,332,4.148,6.3,0,0,2090.9,NA,100,07.12.csv,2015
A10000,Küche,22.5,22.5,17,NA,1.32,0,0,22.5,100,1.27,08.12.csv,2015
