Artikel,name,Bruttobetrag,Nettobetrag,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,Ref %,Tot %Umsatz,source,year
A10000,Küche,1,1,1,NA,1,0,0,1,100,0.13,01.09.csv,2016
A10001,Favorite,462,462,58,NA,7.97,0,0,462,100,58.77,01.09.csv,2016
A10002,Green,132,132,17,NA,7.76,0,0,132,100,16.79,01.09.csv,2016
A10006,Menu Salat,9,9,6,NA,1.5,0,0,9,100,1.14,01.09.csv,2016
A10040,Garden,175.3,175.3,23,7.563,23.18,0,0,175.3,100,22.3,01.09.csv,2016
A10063,Frucht 1.00,2,2,2,NA,1,0,0,2,100,0.25,01.09.csv,2016
A10126,Apfel im Schlafrock,4.8,4.8,2,NA,2.4,0,0,4.8,100,0.61,01.09.csv,2016
Total Gruppe,NA,786.1,786.1,109,7.563,7.21,0,0,786.1,NA,100,01.09.csv,2016
A10001,Favorite,482,482,58,NA,8.31,0,0,482,100,56.06,02.09.csv,2016
A10002,Green,176,176,22,NA,8,0,0,176,100,20.47,02.09.csv,2016
A10006,Menu Salat,3,3,2,NA,1.5,0,0,3,100,0.35,02.09.csv,2016
A10007,Senf Mayo Ketschup,0.5,0.5,1,NA,0.5,0,0,0.5,100,0.06,02.09.csv,2016
A10040,Garden,191.1,191.1,26,8.207,23.29,0,0,191.1,100,22.23,02.09.csv,2016
A10102,Mandelgipfel ,4.8,4.8,2,NA,2.4,0,0,4.8,100,0.56,02.09.csv,2016
A10128,Aprikosenjalousie,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.28,02.09.csv,2016
Total Gruppe,NA,859.8,859.8,112,8.207,7.68,0,0,859.8,NA,100,02.09.csv,2016
A10000,Küche,6.1,6.1,1,NA,6.1,0,0,6.1,100,1.01,05.09.csv,2016
A10001,Favorite,265,265,33,NA,8.03,0,0,265,100,43.88,05.09.csv,2016
A10002,Green,156,156,20,NA,7.8,0,0,156,100,25.83,05.09.csv,2016
A10006,Menu Salat,13.5,13.5,9,NA,1.5,0,0,13.5,100,2.24,05.09.csv,2016
A10007,Senf Mayo Ketschup,0.5,0.5,1,NA,0.5,0,0,0.5,100,0.08,05.09.csv,2016
A10040,Garden,148.3,148.3,20,6.348,23.36,0,0,148.3,100,24.56,05.09.csv,2016
A10100,Gipfel,1.3,1.3,1,NA,1.3,0,0,1.3,100,0.22,05.09.csv,2016
A10102,Mandelgipfel ,4.8,4.8,2,NA,2.4,0,0,4.8,100,0.79,05.09.csv,2016
A10111,Schoggi Fair,4.4,4.4,2,NA,2.2,0,0,4.4,100,0.73,05.09.csv,2016
A10126,Apfel im Schlafrock,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.4,05.09.csv,2016
A10147,Pariser Gipfel,1.6,1.6,1,NA,1.6,0,0,1.6,100,0.26,05.09.csv,2016
Total Gruppe,NA,603.9,603.9,91,6.348,6.64,0,0,603.9,NA,100,05.09.csv,2016
A10000,Küche,19.8,19.8,4,NA,4.95,0,0,19.8,100,3.21,06.09.csv,2016
A10001,Favorite,265,265,34,NA,7.79,0,0,265,100,42.9,06.09.csv,2016
A10002,Green,179,179,23,NA,7.78,0,0,179,100,28.98,06.09.csv,2016
A10006,Menu Salat,15,15,10,NA,1.5,0,0,15,100,2.43,06.09.csv,2016
A10040,Garden,122.3,122.3,16,5.262,23.24,0,0,122.3,100,19.8,06.09.csv,2016
A10072,Schichtjoghurt,3,3,1,NA,3,0,0,3,100,0.49,06.09.csv,2016
A10102,Mandelgipfel ,4.8,4.8,2,NA,2.4,0,0,4.8,100,0.78,06.09.csv,2016
A10126,Apfel im Schlafrock,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.39,06.09.csv,2016
A10200,Birchermüesli Classic,6.4,6.4,2,NA,3.2,0,0,6.4,100,1.04,06.09.csv,2016
Total Gruppe,NA,617.7,617.7,93,5.262,6.64,0,0,617.7,NA,100,06.09.csv,2016
A10001,Favorite,224,224,29,NA,7.72,0,0,224,100,39.17,07.09.csv,2016
A10002,Green,70,70,9,NA,7.78,0,0,70,100,12.24,07.09.csv,2016
A10006,Menu Salat,6,6,4,NA,1.5,0,0,6,100,1.05,07.09.csv,2016
A10014,Kitchen 4,129,129,10,NA,12.9,0,0,129,100,22.56,07.09.csv,2016
A10040,Garden,134.9,134.9,19,5.81,23.22,0,0,134.9,100,23.59,07.09.csv,2016
A10102,Mandelgipfel ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.42,07.09.csv,2016
A10136,Muffin,5.5,5.5,2,NA,2.75,0,0,5.5,100,0.96,07.09.csv,2016
Total Gruppe,NA,571.8,571.8,74,5.81,7.73,0,0,571.8,NA,100,07.09.csv,2016
A10000,Küche,13.7,13.7,3,NA,4.57,0,0,13.7,100,1.75,08.09.csv,2016
A10001,Favorite,399,399,50,NA,7.98,0,0,399,100,50.85,08.09.csv,2016
A10002,Green,158,158,21,NA,7.52,0,0,158,100,20.14,08.09.csv,2016
A10006,Menu Salat,1.5,1.5,1,NA,1.5,0,0,1.5,100,0.19,08.09.csv,2016
A10040,Garden,203,203,27,8.754,23.19,0,0,203,100,25.87,08.09.csv,2016
A10102,Mandelgipfel ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.31,08.09.csv,2016
A10111,Schoggi Fair,2.2,2.2,1,NA,2.2,0,0,2.2,100,0.28,08.09.csv,2016
A10126,Apfel im Schlafrock,4.8,4.8,2,NA,2.4,0,0,4.8,100,0.61,08.09.csv,2016
Total Gruppe,NA,784.6,784.6,106,8.754,7.4,0,0,784.6,NA,100,08.09.csv,2016
A10000,Küche,3.2,3.2,1,NA,3.2,0,0,3.2,100,0.57,09.09.csv,2016
A10001,Favorite,313,313,40,NA,7.83,0,0,313,100,55.97,09.09.csv,2016
A10002,Green,119,119,15,NA,7.93,0,0,119,100,21.28,09.09.csv,2016
A10006,Menu Salat,8.5,8.5,5,NA,1.7,0,0,8.5,100,1.52,09.09.csv,2016
