"","Artikel","name","Bruttobetrag","Nettobetrag","Verkaufte.Stücke","Gewicht.verkauft","Durchschnittlicher.Preis","Rabattierter.Betrag","Durchschnittlicher.Rabatt","Referenzbetrag","Ref..","Tot..Umsatz","source","year"
"387","A10006","Menu Salat","25.00","25.00",7,NA,1.56,0,0,"25.00",100,0.2,"30.09.csv",2016
"388","A10014","Kitchen 4","237.00","237.00",8,NA,13.17,0,0,"237.00",100,1.94,"30.09.csv",2016
"389","A10040","Garden","334.70","334.70",11,14.476,23.12,0,0,"334.70",100,2.74,"30.09.csv",2016
"390","A10063","Frucht 1.00","3.00","3.00",10,NA,1,0,0,"3.00",100,0.02,"30.09.csv",2016
"391","A10072","Schichtjoghurt","3.00","3.00",2,NA,3,0,0,"3.00",100,0.02,"30.09.csv",2016
"392","A10073","Saisonfrüchte geschnitten","3.50","3.50",2,NA,3.5,0,0,"3.50",100,0.03,"30.09.csv",2016
"393","A10108","Laugenbrezel mit Butter","2.20","2.20",2,NA,2.2,0,0,"2.20",100,0.02,"30.09.csv",2016
"394","A10120","Mandelbrezel ","2.40","2.40",2,NA,2.4,0,0,"2.40",100,0.02,"30.09.csv",2016
"395","A10127","Aprikosenplunder","4.80","4.80",9,NA,2.4,0,0,"4.80",100,0.04,"30.09.csv",2016
"396","A10128","Aprikosenjalousie","2.40","2.40",2,NA,2.4,0,0,"2.40",100,0.02,"30.09.csv",2016
"397","A10200","Birchermüesli Classic","26.60","26.60",13,NA,3.33,0,0,"26.60",100,0.22,"30.09.csv",2016
"398","A10410","Sandwich Milano","4.00","4.00",2,NA,4,0,0,"4.00",100,0.03,"30.09.csv",2016
"399","A10411","Sandwich Power Ham","4.50","4.50",2,NA,4.5,0,0,"4.50",100,0.04,"30.09.csv",2016
"400","Total Gruppe","","12,236.10","12,236.10",6,14.476,9.24,0,0,"12,236.10",NA,100,"30.09.csv",2016
